"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21","LD22","LD23","LD24","LD25","LD26","LD27","LD28","LD29","LD30","LD31","LD32","LD33","LD34","LD35"
"Ailurus_fulgens",-4.70552598171791,-0.642527480036929,-1.4968941349607,-3.36259350452745,-1.02187658859663,-2.60727089237008,0.7122025690335,4.16907821451502,4.37132280293424,4.64655627828568,3.33778290114336,5.13410837099003,-1.24815096718576,0.00585599194873343,-1.41539363196213,-0.0352458814606949,2.01936020197202,0.797235198086074,1.49800900604167,0.44830315264804,0.133420775626809,1.51272696255435,-0.596393440441279,1.75588667932728,0.844359064538632,-0.999612868945954,-0.558644612637397,-1.67202175025209,0.492773452627839,-0.382482948165918,-0.276256241941351,1.32694710630091,0.356699573810318,0.668811678312326,-0.744223044146659
"Canis_adustus",-0.843307598235501,-13.3462235760303,-6.41045960015825,4.45094901683495,-0.305770478618606,1.81777104210746,-0.456047842897166,-1.61147398229894,0.968335726562296,-0.0521756001246798,-1.56510855639732,-1.22636862285237,-0.899657251948768,-0.711702796715986,0.409091098000907,-0.459844834529413,0.860676457217328,1.11616071864684,-0.966183888930147,1.13547586109186,1.54937585529647,-0.0508883337726097,0.69093095122629,0.495791673970003,0.114484103997545,-0.10363534543823,1.59645055068206,0.536558063753123,0.721804867772318,0.350393282942658,-0.286656455638642,-0.182907792409524,0.154085993524123,-0.405331202514774,-0.165391912164488
"Canis_anthus",-0.735028483238342,-12.6679153513945,-4.76974918579676,4.26577745496568,0.26305080905807,2.42149197001393,0.123021872213774,0.465270636104432,0.286900398409488,0.0148350841738653,0.0723463412002243,-0.29029156869811,-0.325041153636078,-0.320056551384166,0.395230809997478,0.317468395062707,0.070211979228133,-0.163553488465007,-0.0159073120519145,0.56193092978299,-0.364612724036217,0.739814511378928,-0.222970071199635,0.674703461108076,-1.0729555984424,0.318701592535415,-0.00999838782394361,-0.557830368911787,-0.471294104407591,0.191698352128797,-0.327455416948933,-0.247463379942645,-0.725027719440055,-0.0822087883000855,-0.121802620871482
"Canis_dingo",1.67150013900339,-13.712511752051,-3.48452216710441,4.34901499624087,1.46356515933641,2.29437900453102,-0.145814891273391,0.700651379060983,0.183356586699734,0.366683052335268,1.91560952109684,0.592738050871515,0.816910612713991,-1.28811988904395,-0.063657805159903,0.579829449735681,-0.0282668544494448,-0.67322546671387,0.970727874602431,0.987868065732718,-0.331955667745094,-0.420183953334734,0.736975837659597,1.1388124443521,-0.776845015949063,0.175420310940158,0.648447206069089,-0.385284511472942,-0.665260155751173,1.32955606164001,-0.0422976299718654,-0.829864245853846,-0.718440196422277,1.36821020751006,0.467227363584099
"Canis_latrans",3.05654455548989,-16.1770823423244,-5.40000403845939,5.62424180050438,0.323159075744759,3.37041338103945,-0.537831764993562,-0.758531214988553,0.757135207616675,0.753781953815254,0.570713283750655,0.480158171820733,0.77463262347009,0.0108309382413377,-0.0399777392967887,1.34239983485378,-0.156756018509627,0.437093742066163,-0.342014216232528,-0.917635844317724,0.903182684823194,0.387376904190302,0.159214225119447,-0.0594786947065279,-0.212709192264266,0.863002378520553,0.432936526815158,0.695707200504856,-0.795523240413616,-0.0231319523751064,-0.726436489164263,-0.116645568945607,-0.152731775643874,0.941976210609723,0.3083879102963
"Canis_lupus",7.36111919416092,-23.355679846314,-5.34585583654005,5.7183933742214,0.908742480613802,2.5639331772845,-1.24686737779641,-1.4460373771212,1.64116951026495,-0.175760095762311,2.97773538457368,1.2003438385724,0.0103430631627934,-0.271401109765823,1.10451028622249,0.00770799518754067,-0.835702929124044,-1.45324237762075,0.68880473113789,0.0608674803551433,-2.16823717201573,0.869081622625562,0.304171729758346,-0.779588270923542,0.0197731360068409,-0.968675561482887,-0.145118274556028,-0.258816986595968,-0.117699587450409,0.162777117363699,-0.00157852347465903,0.430911593038855,-0.330183505770358,-0.0266952938459222,-0.531394455227015
"Canis_lycaon",7.26918011506404,-21.8604539172435,-5.8997790778706,5.12672078727536,1.07798574396274,2.31784268154891,-1.59641475536824,-1.22784792894168,1.18277017517645,-0.214963384917032,2.72282479750529,0.9396045795359,-0.305269355185055,-0.159355308337262,1.03628804593116,0.646062482361188,-0.524021463757432,-1.31986372617688,-0.395545110143569,0.384255142274571,-1.72838732435341,1.30447205508495,-0.0396315407340226,0.328322697352406,-0.203355486603043,-0.393507505915145,0.0511711315246045,-0.989714774499332,-0.739086577878527,-0.238902730562362,0.490217016930594,0.407228654309427,-0.186858809604549,-0.00704336424302193,0.145310370186376
"Canis_mesomelas",-1.07966629332858,-11.6949746828555,-3.63371680196238,3.68450889019328,0.798280350581787,3.21506163343096,0.104483654935208,-0.559421379595085,0.926942741305641,0.542371733769725,-0.619793387387699,-0.686507971283243,-0.140161357483331,-0.37904443793976,-0.663283071679064,0.00373218007398719,0.216078523717197,-0.466904190890389,0.00920725544833534,0.810818852903636,1.11437869695055,-0.592620805249687,0.767742820403113,0.268074603367989,-0.112739313439466,-0.634775453918752,0.285209195839945,-0.749455980529163,-0.200321450858295,0.093429619413676,0.137772619199503,0.319043425457362,-0.0487058060869024,-0.432048846879399,0.185989585808406
"Canis_rufus",5.35383313040793,-19.3056204250924,-5.96460174957294,6.11824221534106,0.627149320297315,2.23645809417408,-1.02567770202616,-0.460927370740871,1.33333926523391,-0.716261038616978,1.16311147819218,1.52248495000341,0.0118577546440411,0.180407512670272,0.512143165620595,0.0376929259106225,-0.876139461205915,-0.420247773050083,-0.306843522719684,-0.242889533290841,-0.667509427693103,0.699413522966189,0.511031805765427,-0.0207245367234377,-0.235586633645441,-0.589698390960218,0.566358846344977,-0.110666043921832,0.00198805991250142,-0.0183733574697844,0.316011118899618,0.414450756756666,0.0100801018766153,0.217179769228993,0.0343211344018117
"Cerdocyon_thous",-2.50326208994181,-9.55832638685388,-5.0179859105184,1.27110315628015,0.525516114111751,3.37516473778614,-1.21119503657496,-0.878544308147523,-0.712643853865219,0.44647359224884,1.09956648409486,-0.28297109363741,-0.00854794879837149,-0.725349066782019,-0.685778844954422,0.0370136576869078,0.735572692428739,1.56183765031804,-1.45488611406619,0.264041029452644,1.37384910137412,-0.190970097465207,0.944089487103302,0.544906428084081,0.989143281121371,1.01883690444001,0.204339535574778,-0.197017122021178,-0.673936955028317,0.347036679085509,-0.0274286213365068,0.231377803077946,-0.345604020228466,-0.29654508140344,-0.433775349976769
"Chrysocyon_brachyurus",7.19134505486544,-22.0670565253776,-8.05595006127206,6.23263139722208,-1.33960981383438,2.95581926624198,-2.66226268474714,-0.916150743548855,2.3426720485648,0.00399440094592991,2.10258742570606,0.690724708636789,0.00897395070317805,1.50562518066881,0.391350649391992,1.76839590435542,0.424336043065621,3.09377696966274,-2.06671008688183,-5.0477910565518,1.92022839863788,1.2507391911687,0.413839362814196,-0.773189556344534,0.958816242635985,-0.381338292275473,-1.29294329985993,1.28964091425292,1.72873312621028,-0.737502978878276,-0.434885876384486,-0.238376056374479,0.0966912824271015,-0.300427591642719,-0.0589751645609634
"Lycalopex_culpaeus",-0.711749502846812,-14.5122387052823,-5.94254717432639,4.42324121376574,-1.52457740726289,3.44091937098429,0.121328495587557,-0.207958568964003,-0.431995227049074,0.266985256362136,-1.40119539725718,-1.16250811798248,-0.673548777522917,0.424017601394907,-0.416964936441209,-1.21063480498235,-0.210240094555504,2.08878577985572,-0.683048737942129,0.329890248144013,-0.541271197712327,0.762495971270939,-1.43220481207689,1.1016444178872,-0.136105893066097,0.391307059233739,1.63310647591056,0.811155603418719,1.19214156312887,-0.308839091769434,0.206526846500787,-0.650963065446428,0.251030800772202,0.370611925258127,-0.351441861026785
"Lycalopex_griseus",-3.42222631910492,-9.42620402784364,-4.57563689888095,3.5517541904455,-0.998706012397349,3.33785130497815,1.1145441639983,0.142771054303356,-0.610206880419897,0.84050112194298,-1.12217478126806,-0.501523291250964,0.219591203892979,-0.810675489796923,-0.0830936076223559,-0.285551037596271,0.793169350817549,1.16264854145735,0.039786459872664,0.630487408034682,0.547640828761202,-0.587681337052303,0.271365403532592,0.582288446902843,-0.513445947411555,0.431574971444829,0.544981591715871,0.337081275523648,0.207258133668341,-0.10311971882123,-0.171053511070316,-0.514871627550231,0.211347189981182,-0.218514227077236,0.443200304246596
"Lycalopex_gymnocercus",-2.85131273645996,-10.5341347463051,-4.70040764458886,3.833619456886,-0.722873016034288,3.15744458878557,0.324906799758945,-0.207942070305428,-0.939634615941164,0.556594276445369,-0.776823825611647,-0.87379168286984,0.0522784465444379,-0.547389493459027,-0.231639732873262,-0.392287963279426,0.522186789460279,1.08612130188749,-0.378580057420357,0.641372218158947,0.644893069910601,0.195125515323101,0.223037582399269,0.604338873697697,-0.31694246637491,0.636987724865593,0.893098373608935,0.0925975058001736,0.40724899075428,0.0311951412820225,-0.175434931139526,-0.312236564521683,0.252136247343867,0.00141275735707816,-0.0795416131401619
"Lycalopex_sechurae",-5.23391205726905,-6.96274353499496,-3.9429051889364,2.43288509502834,-0.638598602723043,2.5820789101075,-0.0122243197902368,-0.101588105238051,-0.0920519377603599,0.235649014063819,-0.818941688161785,-1.39667625033827,-0.15290066216156,-0.625527154451567,0.562247810233865,-1.25320037449395,0.296267050288779,-0.0472535652377868,-0.668092419103354,0.739201843954793,0.9027609281562,-0.910549618740353,-0.164589948024776,0.367736343755268,0.132996047025368,-0.142153526588411,0.640378490086105,0.781954917820286,0.079239004644602,0.568339826550638,0.015589151759739,-0.718144192791253,-0.0389934925303025,-0.163742940363912,0.35859252417274
"Lycalopex_vetulus",-5.17107024479934,-5.64479394332056,-2.68146986942382,1.9510275571303,0.130621839051418,2.79707496622686,-0.40233647627059,0.117786056503131,-0.948563663405403,1.19323124333834,0.128834536307766,-1.18784410283594,0.294293640282823,-1.06701639787759,-0.0915159101500418,-0.170315218956548,0.331993190508148,0.584747336820242,-0.561113803099305,0.8577050004047,0.778445334266279,0.00988177966293996,0.434583652691254,1.2275026258113,-0.145806213531378,0.920344406633387,0.460303751085075,0.518510171869947,0.448997438192709,0.231857041003806,-0.409142328576828,-0.283580327307755,-0.512181049829333,-0.00127954922854384,-0.430463414433455
"Lycaon_pictus",6.41892188099587,-15.9619457940193,-0.360030573058544,1.52893917071323,3.68575842345449,4.40271088952245,-0.0851977229413892,0.605921938506527,0.571971886584433,0.814266544034334,1.90253057223682,0.451036815139364,0.419983799337238,-0.649400474892558,-1.0736720564471,1.99849562267686,0.455356627183361,-3.28636677235473,1.15682579950352,2.07701342742632,-0.384743116930568,-1.08858745145264,-0.178310826226245,3.83972092764172,-1.05510173145725,-1.36165339280624,-0.881092465124716,0.321521113723151,0.0572261710601153,-0.561732763016082,0.0499400050863954,0.90817037575011,0.687362579851087,-0.420630043666887,0.597491363920036
"Nyctereutes_procyonoides",-4.78775328472023,-5.00061513095745,-2.45065066484987,3.5621537816879,1.14068519860174,1.77802756440957,-0.662646757305867,0.411435743299457,-0.475182366463882,0.332283844218194,-0.429598897166025,-1.20855862620953,0.708846411392291,-1.31046537780618,0.341225331926331,0.024568412085262,0.0752623291533328,0.0309779425386804,-0.327998244154152,0.727629902222324,0.014475134334183,-0.498873502387235,-0.0759149926876693,0.466456879090474,1.03118623752124,0.514308152511807,0.66570606501345,0.850638912222656,1.17038461918265,-0.270228652466499,0.571313956087478,0.747103366017549,0.54646931328331,-0.00569832719915403,-0.248971708233075
"Otocyon_megalotis",-5.24727962779157,-5.64832639324193,-2.24172831682033,5.29213320045216,-0.887757581870237,0.342428722934071,-0.29989983536336,-0.28733585249816,-0.0758594563234597,0.996564859115804,-1.27280226303242,-1.3744669525669,0.793569952634749,-0.318104834491259,0.642474974321563,-0.598368082936654,0.45671219767012,0.647733855150767,-0.374692473428707,0.0972445692535119,-0.83771626931756,-1.03989543200864,-0.685816670680253,-0.446071054941738,0.709516317951116,1.53323455290303,-0.361259343197603,-0.61381575449096,0.724676761947344,-0.753155128318661,0.170923880465781,1.04560315746269,-0.177872698613988,-0.829528259124956,-0.492254002788403
