#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:sequence-5" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:sequence-5" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:sequence-5" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sequence-5" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:sequence-5" name="distribution" x="@birthRate.t:sequence-5">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:sequence-5" name="distribution">
#            <parameter id="ucldStdev.c:sequence-5" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sequence-5" id="treeLikelihood.sequence-5" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sequence-5">
#            <siteModel id="SiteModel.s:sequence-5" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence-5" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence-5" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence-5" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence-5" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:sequence-5" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence-5">
#                <LogNormal S="@ucldStdev.c:sequence-5" id="LogNormalDistributionModel.c:sequence-5" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="28" id="rateCategories.c:sequence-5" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:sequence-5" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
0	-90154.85472257546	-90150.01355981643	-4.841162759023611	-90150.01355981643	1.582448256691931	-5.660526904144413	1.0	0.1	0.9812187196098207	0.00804028548711153	0.09137340768933844
1000	-64282.81802627868	-64292.99231843588	10.17429215720388	-64292.99231843588	0.24559222398577749	11.02200413322426	6.467296746821498	0.4660408560725384	0.8747442537698402	0.11986090484218884	0.3979139570764998
2000	-63747.18572987748	-63758.6174329538	11.431703076319339	-63758.6174329538	0.24559222398577749	12.470772910244527	6.84929828525575	0.5198936094574342	0.8393865866746266	0.12096076349724598	0.40017412923151957
3000	-63739.66560321895	-63750.590912553926	10.925309334973576	-63750.590912553926	0.23453117462167591	11.95177486182051	8.54095194000161	0.5162996974612702	0.7848302507775494	0.11863218413699311	0.389088199136545
4000	-63741.469743942005	-63753.7198292882	12.250085346198556	-63753.7198292882	0.22501159105113422	12.916354669942939	5.625168892213555	0.4165059920388152	0.8909670208090705	0.1067288633268175	0.34120473400887025
5000	-63737.462616804565	-63749.76315287853	12.300536073960679	-63749.76315287853	0.21687732301095042	13.043246353038487	5.880031301960172	0.4371807223960461	0.8517303397699215	0.07308658704359912	0.2894584277496041
6000	-63734.808778170955	-63746.55528725961	11.746509088654033	-63746.55528725961	0.2261095490352931	12.502839736997378	6.476931505063356	0.44089487934562577	0.7943086407299123	0.08955159081383472	0.3426501064629571
7000	-63732.93104095066	-63743.88267052135	10.951629570694312	-63743.88267052135	0.22256422403652987	11.694928119677968	9.617353527245497	0.4373409525833435	0.823114033723768	0.11607922759424627	0.38366499492385225
8000	-63741.06200194956	-63752.99327256101	11.931270611448777	-63752.99327256101	0.22214877526610194	12.84699702475184	6.803105642223423	0.4850032105477299	0.828082791848301	0.13111495101620252	0.38983711910454455
9000	-63738.62757196796	-63749.93734687911	11.309774911148534	-63749.93734687911	0.22214877526610194	12.29030130770409	7.349998007301833	0.5032550161412387	0.7654163489402752	0.1430832927019012	0.43071376138693784
10000	-63737.23332547472	-63746.11637465451	8.883049179793918	-63746.11637465451	0.22214877526610194	10.000653452963851	11.482942911363759	0.5424260196090829	0.7930285717697643	0.11295632323875929	0.37014431345314486
11000	-63735.0012920179	-63746.091958629346	11.090666611445705	-63746.091958629346	0.2249250418408659	12.208270884615638	8.800854307132433	0.5424260196090829	0.8200580763210688	0.09267647621847931	0.3571690117619878
12000	-63734.588481871186	-63745.05147057397	10.462988702783159	-63745.05147057397	0.2249250418408659	11.648845886598906	9.574165331331647	0.5621970761356134	0.8057855471134437	0.1437736861216229	0.4443001730096044
13000	-63736.746272249446	-63747.7905380171	11.044265767655613	-63747.7905380171	0.22533108430958693	11.934196536089953	4.76741192267824	0.4777874254565199	0.8069004893160175	0.06338530510605314	0.3021296867671202
14000	-63738.53923472606	-63750.6544716346	12.115236908543224	-63750.6544716346	0.22533108430958693	13.011146216383978	6.793610107168388	0.479457214943036	0.8189562296325922	0.06935890764575967	0.3193401015208835
15000	-63736.611539814345	-63748.75109504352	12.139555229171181	-63748.75109504352	0.22717193008854478	12.89532888647566	6.190899069846169	0.4407428167575191	0.8134345355687987	0.07345363791263633	0.3073689391584643
16000	-63736.15308313622	-63748.14020158664	11.987118450421505	-63748.14020158664	0.22733797512014917	12.606200399163377	8.602774251413551	0.40389227336296063	0.8446604483704101	0.11456958212701622	0.3674328799451253
17000	-63740.15816797742	-63752.621101135424	12.462933158007006	-63752.621101135424	0.22359002677001288	13.165269343546601	7.030427284845429	0.4262244433559566	0.8690135518247103	0.07186609546735974	0.2993349581794462
18000	-63737.15600210128	-63750.38232469954	13.226322598264186	-63750.38232469954	0.22008812182541268	13.795749498733858	7.541019836358738	0.3907468267437155	0.9254248096194859	0.0584132434223429	0.2579303470791733
19000	-63738.18136949265	-63750.336234096445	12.154864603795165	-63750.336234096445	0.2510664662475955	12.97167506575111	5.780695651610636	0.4574940283971463	0.8784967936584385	0.11586356696758093	0.3799993707140013
20000	-63738.4204183986	-63750.35758046561	11.937162067009064	-63750.35758046561	0.21142228450901146	12.483579646189465	11.490215078522429	0.38470121332591245	0.8977517898313402	0.061252746828052825	0.26751303597786535
21000	-63731.81823661715	-63744.90628598472	13.088049367565183	-63744.90628598472	0.2081595278174671	13.629939431069264	8.566936354444602	0.38351510189202054	0.8846389586172082	0.08789717171302798	0.3134509842696825
22000	-63731.647333307264	-63744.20214670186	12.554813394588834	-63744.20214670186	0.23061437765584256	13.065417111143386	5.55046816300309	0.375350443382138	0.8845049036553273	0.06664055220130363	0.28772711003455137
23000	-63732.384271971874	-63744.54178106673	12.157509094854863	-63744.54178106673	0.2413158060648267	12.668112811409415	4.902235776501775	0.375350443382138	0.8478972390012296	0.06422046609634395	0.2865640869478483
24000	-63735.95152683443	-63749.35250555682	13.400978722387585	-63749.35250555682	0.24025555619834116	13.7076649272604	6.588991613682556	0.32357316461969815	0.9009479211143131	0.06377155019115766	0.2761533539579641
25000	-63739.31542941077	-63753.019834739454	13.704405328681172	-63753.019834739454	0.21775475523400398	14.052336755502047	9.251903577719993	0.3338350794297573	0.9244466626542168	0.07738608528742955	0.2886465419627368
26000	-63743.38442420653	-63756.89309675077	13.508672544240682	-63756.89309675077	0.21579754267274176	13.771251949255053	5.324706735221806	0.3127247784182635	0.8992193011260889	0.05205003738594289	0.2465107365604644
27000	-63740.140246576004	-63753.928010177966	13.787763601962382	-63753.928010177966	0.21525099792483815	13.636594474424935	11.045101588380039	0.21808719584666617	0.958783159976056	0.025490175733634726	0.16841853645263288
28000	-63736.87993491638	-63750.320096661235	13.440161744856487	-63750.320096661235	0.2071952984386447	13.586341532488182	4.6369774883851305	0.2847492730372606	0.9897498414584198	0.04215188063588734	0.2111731685725593
29000	-63732.0189302437	-63746.3149210078	14.295990764094913	-63746.3149210078	0.2071952984386447	14.434192178325734	10.8576478727283	0.2828678973863127	0.9901795033885562	0.05294468704001568	0.23944308253073524
30000	-63739.58995115421	-63753.9149740041	14.325022849892134	-63753.9149740041	0.21101683553568776	14.386127162709407	5.506340551957533	0.26493822949434165	0.9474558185640086	0.05696651439320681	0.24838518411508914
31000	-63740.084733481744	-63755.76733094901	15.682597467271531	-63755.76733094901	0.21376121186105146	15.312728466508018	6.874309480295948	0.17413649590600047	1.0230328275510512	0.03408122158145341	0.18398969973009183
32000	-63735.00298533543	-63749.85557146132	14.852586125893064	-63749.85557146132	0.21398765184713023	14.600431450677558	10.339797572118222	0.197211863984055	0.9905810842884174	0.03340980273728688	0.18555975131860677
