SAMPLE	output.r2.means.P3	output.i.means.P3	output.r.means.P3	output.e.means.P3	output.f.means.P3	output.c.means.P3	output.vc.means.P3	ymin.r2.P3	ymin.i.P3	ymin.r.P3	ymin.e.P3	ymin.f.P3	ymin.c.P3	ymin.vc.P3	ymax.r2.P3	ymax.i.P3	ymax.r.P3	ymax.e.P3	ymax.f.P3	ymax.c.P3	ymax.vc.P3	output.r2.means.P2	output.i.means.P2	output.r.means.P2	output.e.means.P2	output.f.means.P2	output.c.means.P2	output.vc.means.P2	ymin.r2.P2	ymin.i.P2	ymin.r.P2	ymin.e.P2	ymin.f.P2	ymin.c.P2	ymin.vc.P2	ymax.r2.P2	ymax.i.P2	ymax.r.P2	ymax.e.P2	ymax.f.P2	ymax.c.P2	ymax.vc.P2	output.r2.means.P1	output.i.means.P1	output.r.means.P1	output.e.means.P1	output.f.means.P1	output.c.means.P1	output.vc.means.P1	ymin.r2.P1	ymin.i.P1	ymin.r.P1	ymin.e.P1	ymin.f.P1	ymin.c.P1	ymin.vc.P1	ymax.r2.P1	ymax.i.P1	ymax.r.P1	ymax.e.P1	ymax.f.P1	ymax.c.P1	ymax.vc.P1	output.r2.means.P4	output.i.means.P4	output.r.means.P4	output.e.means.P4	output.f.means.P4	output.c.means.P4	output.vc.means.P4	ymin.r2.P4	ymin.i.P4	ymin.r.P4	ymin.e.P4	ymin.f.P4	ymin.c.P4	ymin.vc.P4	ymax.r2.P4	ymax.i.P4	ymax.r.P4	ymax.e.P4	ymax.f.P4	ymax.c.P4	ymax.vc.P4
39	0.182986572	0.82809026	0.806807461	0.547804553	0.644858394	0.075099142	0.213025401	0.123407773	0.786317443	0.537038207	0.422533903	0.582086955	0.059064845	0.14538466	0.242565371	0.869863077	1.076576716	0.673075204	0.707629834	0.09113344	0.280666141	0.189123619	0.829176264	0.810215356	0.551736019	0.637570748	0.075763363	0.211848597	0.114951758	0.77859252	0.574311231	0.416357496	0.56895883	0.057215072	0.142616648	0.26329548	0.879760008	1.046119481	0.687114542	0.706182666	0.094311655	0.281080546	0.183833397	0.829978182	0.832980669	0.535671527	0.643074881	0.074448786	0.199520307	0.123763277	0.777810722	0.585173876	0.418686156	0.586523131	0.057661063	0.137916156	0.243903516	0.882145641	1.080787461	0.652656898	0.699626631	0.091236509	0.261124459	0.185998557	0.82969932	0.832659798	0.546469547	0.642734809	0.075333128	0.207470603	0.123211178	0.780225243	0.576548657	0.421784674	0.580512484	0.056767535	0.13809399	0.248785935	0.879173398	1.08877094	0.671154419	0.704957134	0.093898721	0.276847215
40	0.183579518	0.823877873	0.803377792	0.55238229	0.640218291	0.078360186	0.209849378	0.118891556	0.771298924	0.540941747	0.434667511	0.578228924	0.060415895	0.140736824	0.24826748	0.876456822	1.065813837	0.670097069	0.702207659	0.096304477	0.278961933	0.188952106	0.825386959	0.812398979	0.537102017	0.644198929	0.077375915	0.210284929	0.127593107	0.770529442	0.550337321	0.400315709	0.582790914	0.059124049	0.149504604	0.250311104	0.880244476	1.074460637	0.673888326	0.705606944	0.095627782	0.271065254	0.181746683	0.825795201	0.845494697	0.530249768	0.641340566	0.074863086	0.203087247	0.123017478	0.780459256	0.593723895	0.413124504	0.583166103	0.057290474	0.135924812	0.240475888	0.871131147	1.097265499	0.647375032	0.699515028	0.092435697	0.270249681	0.18593106	0.828184383	0.831754825	0.546502904	0.642829654	0.075984611	0.206904886	0.124042755	0.779127605	0.579287406	0.423465764	0.581300307	0.057517162	0.138534983	0.247819366	0.877241162	1.084222245	0.669540045	0.704359001	0.094452061	0.27527479
41	0.187750947	0.826346174	0.820406252	0.551180038	0.644180894	0.076536124	0.208595936	0.121780688	0.78068566	0.572141014	0.446373376	0.583082121	0.058881581	0.13954375	0.253721207	0.872006687	1.068671491	0.6559867	0.705279666	0.094190668	0.277648123	0.184203524	0.82797244	0.808930747	0.541230587	0.642664007	0.077101515	0.207134871	0.120371393	0.785971394	0.577933112	0.419366979	0.586080401	0.058769054	0.144776078	0.248035654	0.869973486	1.039928381	0.663094196	0.699247613	0.095433977	0.269493663	0.182378998	0.825805194	0.851464891	0.545650175	0.651016672	0.076226291	0.205882027	0.120888959	0.773396195	0.616939353	0.447937913	0.589205226	0.060666212	0.141818405	0.243869037	0.878214193	1.085990428	0.643362438	0.712828117	0.091786369	0.26994565	0.185453008	0.827980563	0.832884642	0.54707009	0.643792465	0.076684491	0.206612691	0.124694396	0.77974406	0.581717446	0.42530462	0.582888908	0.058387522	0.139397381	0.24621162	0.876217067	1.084051837	0.66883556	0.704696022	0.094981461	0.273828
42	0.184596767	0.824311766	0.802795119	0.54107051	0.646503349	0.077964986	0.206471477	0.130580978	0.772574938	0.579111235	0.414558834	0.589199432	0.060661072	0.144189744	0.238612556	0.876048593	1.026479002	0.667582186	0.703807266	0.095268901	0.268753209	0.183521276	0.823448457	0.806118294	0.545255456	0.637695703	0.076163631	0.216335017	0.128058373	0.777532995	0.565469015	0.428517163	0.573133846	0.057817587	0.143573701	0.23898418	0.869363919	1.046767573	0.661993748	0.702257561	0.094509674	0.289096332	0.181377277	0.82721499	0.842959516	0.540801623	0.64506576	0.077318064	0.207133821	0.123709685	0.775529276	0.580710956	0.434130853	0.587714234	0.059707584	0.144277026	0.239044869	0.878900703	1.105208076	0.647472394	0.702417285	0.094928544	0.269990617	0.185494569	0.826498817	0.831182162	0.547036083	0.644103579	0.077146394	0.206196229	0.124991863	0.778501857	0.581511532	0.426736896	0.584467269	0.059037526	0.13940652	0.245997275	0.874495778	1.080852792	0.667335271	0.703739889	0.095255262	0.272985938
43	0.183450442	0.822084184	0.806700315	0.547552938	0.645087957	0.078250724	0.211766692	0.123236771	0.768617613	0.573013989	0.420981596	0.593199159	0.059876886	0.149717368	0.243664112	0.875550754	1.040386641	0.67412428	0.696976754	0.096624562	0.273816017	0.185135105	0.826577083	0.83136994	0.547074509	0.642479783	0.075652577	0.2047769	0.132574144	0.789530557	0.615609114	0.414345954	0.580075564	0.057113273	0.141436551	0.237696066	0.863623609	1.047130765	0.679803063	0.704884003	0.094191881	0.268117249	0.186990214	0.825584226	0.817196775	0.553552202	0.643642255	0.076623943	0.202516486	0.125266012	0.781759999	0.568851179	0.432355607	0.59177051	0.058778286	0.139465566	0.248714416	0.869408453	1.065542372	0.674748797	0.695514	0.0944696	0.265567406	0.184928392	0.825475548	0.831518577	0.546259037	0.644914895	0.077645066	0.205734759	0.125177263	0.77817363	0.585632308	0.42681346	0.58539125	0.059702071	0.139328403	0.244679522	0.872777466	1.077404846	0.665704613	0.704438539	0.095588061	0.272141114
44	0.180448789	0.822912392	0.809641668	0.549669199	0.655134535	0.078014438	0.209652641	0.119858691	0.775260077	0.573868017	0.433955378	0.594232228	0.060257513	0.135317538	0.241038887	0.870564707	1.045415319	0.665383021	0.716036842	0.095771363	0.283987744	0.18565117	0.821174662	0.81368012	0.54275968	0.64882539	0.077531817	0.208290063	0.123164778	0.77094332	0.600016379	0.421977376	0.598214693	0.0593714	0.139728782	0.248137563	0.871406004	1.02734386	0.663541985	0.699436088	0.095692233	0.276851343	0.186242296	0.82452275	0.846480349	0.544150702	0.6432272	0.078746902	0.208752838	0.127872465	0.778700394	0.616117638	0.428112391	0.586488412	0.057529144	0.148322155	0.244612127	0.870345106	1.07684306	0.660189014	0.699965988	0.099964661	0.269183521	0.184199191	0.824662366	0.831341304	0.547287322	0.645216968	0.078203819	0.20481612	0.125124368	0.77807883	0.588971541	0.430196238	0.585828051	0.060403269	0.139471306	0.243274013	0.871245902	1.073711067	0.664378406	0.704605884	0.09600437	0.270160934
45	0.185612664	0.825961799	0.829594692	0.545927496	0.650490677	0.080328836	0.205137327	0.12469829	0.781501792	0.597134634	0.442550546	0.599589629	0.063212103	0.141803487	0.246527038	0.870421807	1.062054749	0.649304445	0.701391725	0.097445569	0.268471168	0.179281707	0.821588964	0.825486838	0.550486073	0.647527345	0.079262263	0.208664636	0.124652029	0.771884081	0.596605762	0.443204878	0.583724818	0.064209666	0.14293509	0.233911385	0.871293847	1.054367915	0.657767268	0.711329871	0.094314859	0.274394182	0.179387663	0.821299855	0.845299537	0.546941716	0.6449834	0.07743906	0.207831459	0.124880597	0.772388718	0.629811256	0.425170525	0.58621634	0.059229547	0.142642207	0.23389473	0.870210992	1.060787817	0.668712907	0.70375046	0.095648573	0.273020711	0.184059658	0.823916239	0.829973718	0.546940381	0.645779094	0.078627579	0.204754942	0.12648671	0.77788312	0.58917879	0.432488369	0.587273326	0.06092446	0.140641675	0.241632607	0.869949357	1.070768645	0.661392393	0.704284862	0.096330698	0.268868208
46	0.18327213	0.820525847	0.783700287	0.549795248	0.647366558	0.07884034	0.206161229	0.124651156	0.7794916	0.566296445	0.444058304	0.590426458	0.061170103	0.138244165	0.241893103	0.861560093	1.001104128	0.655532191	0.704306657	0.096510577	0.274078293	0.180233258	0.822757911	0.802336636	0.537736523	0.649968968	0.080911235	0.204315328	0.123177296	0.775979202	0.544266334	0.430553064	0.587635653	0.063436468	0.146460504	0.237289221	0.869536619	1.060406938	0.644919983	0.712302283	0.098386003	0.262170151	0.183838643	0.82118816	0.842817181	0.546916005	0.650673496	0.080197976	0.20375148	0.125680276	0.771077456	0.599753202	0.437156075	0.595772735	0.064221293	0.137866551	0.241997011	0.871298863	1.08588116	0.656675934	0.705574256	0.096174659	0.269636409	0.18427254	0.822871792	0.828893438	0.546195568	0.646374608	0.079087334	0.204805512	0.1264229	0.776732556	0.591693258	0.431464891	0.587772496	0.061724336	0.141732465	0.24212218	0.869011027	1.066093619	0.660926245	0.70497672	0.096450332	0.267878559
47	0.180233958	0.822542922	0.794800697	0.539959048	0.647075663	0.079554175	0.207394886	0.122864752	0.776436686	0.620148106	0.442450087	0.589990796	0.061286197	0.141284368	0.237603163	0.868649159	0.969453288	0.637468008	0.704160531	0.097822153	0.273505404	0.179977767	0.82034759	0.81647277	0.54707211	0.644356035	0.080260725	0.208632726	0.124048599	0.774359932	0.590456451	0.425520702	0.587724099	0.064105612	0.135595315	0.235906935	0.866335249	1.042489088	0.668623519	0.70098797	0.096415839	0.281670138	0.18812558	0.82454863	0.830729793	0.547583999	0.651160928	0.078494084	0.200959577	0.127616808	0.783213854	0.592954408	0.431534681	0.597513134	0.061843046	0.132776636	0.248634352	0.865883406	1.068505178	0.663633317	0.704808721	0.095145123	0.269142518	0.183549916	0.822123819	0.828511859	0.547304398	0.646941959	0.079521908	0.204032114	0.127043812	0.777126521	0.592892323	0.433895651	0.589474785	0.062371086	0.141145152	0.24005602	0.867121117	1.064131396	0.660713145	0.704409134	0.09667273	0.266919076
48	0.180856919	0.819464227	0.796840485	0.547547135	0.651538654	0.079918857	0.203542686	0.132015832	0.774926471	0.580896887	0.441479712	0.596228787	0.061434609	0.137143401	0.229698006	0.864001984	1.012784083	0.653614559	0.706848521	0.098403105	0.269941972	0.179481793	0.82066545	0.828838681	0.550177787	0.646489741	0.08056091	0.206691635	0.125950645	0.770503043	0.567801352	0.440466657	0.587167468	0.064320975	0.145583381	0.233012942	0.870827858	1.08987601	0.659888916	0.705812014	0.096800846	0.267799889	0.184594229	0.82259129	0.831964204	0.549172541	0.648938355	0.080893799	0.204929388	0.135751945	0.780274746	0.583821656	0.428859638	0.59376561	0.064177311	0.150643121	0.233436513	0.864907835	1.080106753	0.669485445	0.7041111	0.097610286	0.259215655	0.183291072	0.821514838	0.827725448	0.546385535	0.647546961	0.080044964	0.203794576	0.127104521	0.776522608	0.594821368	0.43435894	0.590785456	0.063201031	0.141144922	0.239477623	0.866507068	1.060629529	0.658412129	0.704308466	0.096888898	0.26644423
49	0.18154773	0.821365492	0.803855093	0.5440734	0.654265547	0.080539018	0.212217297	0.130012259	0.779505411	0.555835596	0.436019504	0.601258701	0.061316629	0.14406485	0.2330832	0.863225573	1.05187459	0.652127296	0.707272394	0.099761407	0.280369743	0.186445949	0.816808136	0.800396164	0.55269636	0.652333155	0.08251981	0.207134155	0.134574077	0.77335235	0.607912054	0.445002752	0.592322453	0.064502499	0.150520823	0.238317822	0.860263921	0.992880274	0.660389968	0.712343857	0.10053712	0.263747486	0.181639408	0.82072628	0.829464643	0.55733753	0.647878395	0.081567614	0.203384208	0.12902461	0.774781348	0.594032232	0.445464598	0.596301339	0.064100323	0.138009313	0.234254207	0.866671212	1.064897054	0.669210462	0.699455452	0.099034905	0.268759103	0.183339329	0.820564825	0.827102932	0.546131107	0.648218268	0.08027902	0.203190168	0.12789193	0.775413125	0.596457417	0.434791995	0.591962426	0.063421388	0.142148833	0.238786728	0.865716525	1.057748447	0.657470218	0.704474111	0.097136651	0.264231502
