SAMPLE	output.r2.means.P3	output.i.means.P3	output.r.means.P3	output.e.means.P3	output.f.means.P3	output.c.means.P3	output.vc.means.P3	ymin.r2.P3	ymin.i.P3	ymin.r.P3	ymin.e.P3	ymin.f.P3	ymin.c.P3	ymin.vc.P3	ymax.r2.P3	ymax.i.P3	ymax.r.P3	ymax.e.P3	ymax.f.P3	ymax.c.P3	ymax.vc.P3	output.r2.means.P2	output.i.means.P2	output.r.means.P2	output.e.means.P2	output.f.means.P2	output.c.means.P2	output.vc.means.P2	ymin.r2.P2	ymin.i.P2	ymin.r.P2	ymin.e.P2	ymin.f.P2	ymin.c.P2	ymin.vc.P2	ymax.r2.P2	ymax.i.P2	ymax.r.P2	ymax.e.P2	ymax.f.P2	ymax.c.P2	ymax.vc.P2	output.r2.means.P1	output.i.means.P1	output.r.means.P1	output.e.means.P1	output.f.means.P1	output.c.means.P1	output.vc.means.P1	ymin.r2.P1	ymin.i.P1	ymin.r.P1	ymin.e.P1	ymin.f.P1	ymin.c.P1	ymin.vc.P1	ymax.r2.P1	ymax.i.P1	ymax.r.P1	ymax.e.P1	ymax.f.P1	ymax.c.P1	ymax.vc.P1	output.r2.means.P4	output.i.means.P4	output.r.means.P4	output.e.means.P4	output.f.means.P4	output.c.means.P4	output.vc.means.P4	ymin.r2.P4	ymin.i.P4	ymin.r.P4	ymin.e.P4	ymin.f.P4	ymin.c.P4	ymin.vc.P4	ymax.r2.P4	ymax.i.P4	ymax.r.P4	ymax.e.P4	ymax.f.P4	ymax.c.P4	ymax.vc.P4
50	0.183730493	0.818166411	0.789319322	0.551577657	0.647184164	0.081511117	0.204926087	0.125312055	0.769405982	0.56906564	0.446844137	0.596756078	0.065464705	0.140223723	0.242148931	0.86692684	1.009573004	0.656311177	0.69761225	0.097557529	0.26962845	0.183706086	0.816967566	0.806823462	0.545427272	0.649129882	0.082741705	0.210936978	0.129956247	0.768053427	0.594923443	0.444726568	0.593983368	0.066434049	0.142435685	0.237455926	0.865881706	1.018723482	0.646127976	0.704276396	0.099049361	0.27943827	0.185471916	0.819442494	0.841056362	0.553880757	0.653242549	0.080910773	0.198865551	0.129066717	0.76821951	0.617637819	0.451484223	0.593618124	0.062838019	0.142304276	0.241877116	0.870665479	1.064474905	0.656277292	0.712866973	0.098983527	0.255426826	0.18267711	0.819772693	0.827413211	0.546764381	0.648938103	0.080747369	0.203354997	0.127274004	0.775183175	0.598387428	0.437026045	0.592369122	0.063948131	0.142080123	0.238080215	0.864362212	1.056438993	0.656502717	0.705507084	0.097546608	0.264629872
51	0.184677414	0.818608368	0.814679723	0.550863663	0.645791508	0.080503521	0.202029096	0.132153504	0.774010702	0.58255413	0.459864828	0.594143547	0.062404528	0.14107508	0.237201324	0.863206034	1.046805316	0.641862498	0.697439469	0.098602514	0.262983111	0.179659726	0.818990612	0.81447899	0.54594566	0.644494929	0.081446517	0.210904261	0.127781483	0.77741138	0.565967266	0.427205763	0.583182082	0.065135557	0.148559071	0.23153797	0.860569844	1.062990715	0.664685558	0.705807776	0.097757476	0.27324945	0.180500389	0.825439947	0.833710408	0.543104691	0.650152914	0.081574001	0.198770731	0.123594002	0.783772817	0.587379928	0.443660223	0.59529621	0.065675471	0.138741319	0.237406777	0.867107077	1.080040889	0.642549159	0.705009618	0.097472532	0.258800143	0.182456003	0.819221517	0.825544636	0.546887323	0.648713328	0.081052021	0.202752082	0.12794753	0.775308419	0.598078914	0.437225263	0.592669814	0.06440594	0.142462465	0.236964476	0.863134615	1.053010358	0.656549383	0.704756842	0.097698101	0.263041699
52	0.184005178	0.817287038	0.810473632	0.541089027	0.64927511	0.082044308	0.206005665	0.133074892	0.770972993	0.577787467	0.421629093	0.590786113	0.066453195	0.145294651	0.234935465	0.863601084	1.043159797	0.660548961	0.707764107	0.097635421	0.266716678	0.180157083	0.819713995	0.822371153	0.544210924	0.642832248	0.080628665	0.208736374	0.126585362	0.776406415	0.59970775	0.437758432	0.593829804	0.063781192	0.152677414	0.233728804	0.863021575	1.045034555	0.650663416	0.691834692	0.097476137	0.264795334	0.177469269	0.815258511	0.83572763	0.546149359	0.654037012	0.081687165	0.204008197	0.128432821	0.765377767	0.634605139	0.444704315	0.603601339	0.066157187	0.145738148	0.226505716	0.865139255	1.03685012	0.647594403	0.704472685	0.097217143	0.262278246	0.182633241	0.818213575	0.826981362	0.546201253	0.649057829	0.081403311	0.202539725	0.128815501	0.774172736	0.604108262	0.437672639	0.593724246	0.065114883	0.142872078	0.236450981	0.862254415	1.049854462	0.654729868	0.704391413	0.097691738	0.262207372
53	0.180877323	0.815606721	0.816354961	0.542288405	0.645644233	0.081381914	0.206888561	0.131659522	0.768917828	0.582012366	0.428367455	0.583027182	0.065096859	0.142326	0.230095124	0.862295615	1.050697556	0.656209355	0.708261284	0.097666969	0.271451123	0.18629246	0.817864068	0.81581404	0.548128236	0.648195778	0.083297921	0.202229931	0.128218863	0.776671381	0.592630891	0.440242322	0.586599461	0.066748342	0.140853645	0.244366057	0.859056754	1.038997189	0.656014149	0.709792094	0.099847499	0.263606217	0.180070285	0.81362856	0.845313865	0.551352559	0.6516783	0.082576719	0.201522271	0.129080751	0.767544477	0.629033175	0.435009459	0.6035431	0.06591009	0.146473721	0.23105982	0.859712642	1.061594555	0.667695659	0.699813501	0.099243349	0.256570821	0.182085639	0.817762536	0.827221353	0.545993857	0.64954583	0.081709124	0.202538484	0.128653329	0.774752721	0.604588693	0.43955457	0.593794163	0.065342735	0.143401424	0.23551795	0.860772352	1.049854013	0.652433144	0.705297497	0.098075513	0.261675544
54	0.183987687	0.815605251	0.807569261	0.545054249	0.651549717	0.083416966	0.206461703	0.128615168	0.774065889	0.613678996	0.448228774	0.593464593	0.065616665	0.146927299	0.239360205	0.857144614	1.001459526	0.641879724	0.709634841	0.101217267	0.265996107	0.179259436	0.817379306	0.8215046	0.550983806	0.647739486	0.082141915	0.210123256	0.124382108	0.774266551	0.605059135	0.448851354	0.58720804	0.066986595	0.146098251	0.234136763	0.860492061	1.037950065	0.653116258	0.708270933	0.097297235	0.27414826	0.185887133	0.816560397	0.839214999	0.547757212	0.655490518	0.081293348	0.202623436	0.132288459	0.776395697	0.656178065	0.436843793	0.606172746	0.064190286	0.137306412	0.239485808	0.856725097	1.022251933	0.658670631	0.704808289	0.098396409	0.267940461	0.181858949	0.817174103	0.824474102	0.547243714	0.649792732	0.082031407	0.202596776	0.128520034	0.77450066	0.605730726	0.442362487	0.59524906	0.065890297	0.144151057	0.235197864	0.859847545	1.043217478	0.652124942	0.704336404	0.098172517	0.261042495
55	0.178380088	0.813469694	0.786086086	0.55307108	0.651797812	0.080832977	0.208265688	0.123217472	0.774204321	0.605746346	0.445469286	0.593166105	0.066387795	0.148101676	0.233542705	0.852735067	0.966425827	0.660672875	0.710429519	0.095278159	0.268429701	0.17855324	0.816838192	0.804342768	0.553078818	0.648388186	0.083335324	0.207253613	0.131125557	0.767895737	0.612137053	0.435600086	0.596548089	0.065965869	0.144854257	0.225980923	0.865780646	0.996548484	0.67055755	0.700228283	0.10070478	0.269652969	0.179481733	0.81743114	0.846091583	0.551524638	0.652768898	0.081264061	0.202002996	0.127387038	0.774068749	0.592147569	0.422442799	0.591692128	0.065693601	0.147146581	0.231576429	0.860793532	1.100035596	0.680606476	0.713845668	0.096834521	0.256859411	0.181625489	0.816663208	0.824203988	0.546771113	0.650391697	0.082358805	0.202433	0.129125546	0.774420568	0.603944918	0.441517562	0.596142315	0.066378979	0.14441718	0.234125433	0.858905847	1.044463057	0.652024663	0.704641079	0.09833863	0.260448821
56	0.184074723	0.815955857	0.78836812	0.540070128	0.648805985	0.083069749	0.207173998	0.128006052	0.773264439	0.589970609	0.453807065	0.600972556	0.067197726	0.146563414	0.240143394	0.858647275	0.986765632	0.626333192	0.696639415	0.098941772	0.267784583	0.185229516	0.813648097	0.815056778	0.556133809	0.649052619	0.0843203	0.204314048	0.133534131	0.769995589	0.59450088	0.452789802	0.59851076	0.069479389	0.144925125	0.236924901	0.857300605	1.035612677	0.659477816	0.699594478	0.099161211	0.263702972	0.182629704	0.817601918	0.827793379	0.549648099	0.654148711	0.082132983	0.199889482	0.13270663	0.77284116	0.607218691	0.442095859	0.599067624	0.065770333	0.145490178	0.232552779	0.862362676	1.048368067	0.657200339	0.709229799	0.098495633	0.254288787	0.181250867	0.81604507	0.824166808	0.546851031	0.650928827	0.082705508	0.201783348	0.129500676	0.774014044	0.607499654	0.44340859	0.597137991	0.066785928	0.14438862	0.233001059	0.858076095	1.040833961	0.650293471	0.704719664	0.098625088	0.259178076
57	0.176381635	0.814414921	0.814453178	0.546864941	0.651960737	0.082787683	0.206094723	0.126952415	0.778560388	0.622166438	0.451776942	0.598583237	0.066211369	0.14121047	0.225810856	0.850269454	1.006739918	0.64195294	0.705338236	0.099363996	0.270978976	0.1779584	0.81268469	0.782802823	0.556013323	0.653034095	0.082388968	0.201481668	0.128335514	0.770860203	0.600074136	0.456271094	0.606610164	0.0662289	0.138213619	0.227581287	0.854509176	0.96553151	0.655755552	0.699458027	0.098549035	0.264749716	0.18244491	0.814440085	0.826441093	0.547149989	0.649983555	0.083357462	0.199257812	0.130106771	0.775711407	0.612552475	0.445940728	0.598831911	0.068362184	0.145739368	0.23478305	0.853168763	1.040329711	0.64835925	0.7011352	0.09835274	0.252776256	0.181205668	0.815479387	0.823536575	0.546658009	0.650958577	0.083016428	0.201715448	0.129225671	0.773998115	0.611093754	0.443530653	0.597415626	0.067293268	0.145066148	0.233185665	0.856960659	1.035979397	0.649785364	0.704501528	0.098739588	0.258364748
58	0.180545225	0.815747325	0.794825522	0.544417418	0.654460067	0.08290155	0.209514775	0.129464608	0.772556316	0.591143767	0.448165797	0.59691043	0.067606361	0.148583471	0.231625841	0.858938333	0.998507276	0.640669038	0.712009704	0.098196739	0.27044608	0.183554916	0.81183542	0.813352047	0.553436567	0.656056247	0.083858296	0.204572052	0.122432786	0.765288633	0.600997074	0.440515664	0.606688627	0.068654286	0.147591703	0.244677045	0.858382207	1.025707019	0.66635747	0.705423867	0.099062306	0.2615524	0.181911667	0.812491101	0.831994594	0.547697808	0.651705473	0.08160303	0.198575044	0.131573426	0.777375826	0.612237706	0.447175468	0.606548909	0.065844208	0.143080766	0.232249909	0.847606376	1.051751482	0.648220148	0.696862038	0.097361852	0.254069323	0.181359177	0.814905817	0.825128579	0.546646272	0.651081404	0.083250535	0.201273952	0.13024525	0.773507523	0.611814049	0.444434708	0.597634378	0.067568618	0.144579445	0.232473104	0.85630411	1.038443109	0.648857837	0.704528429	0.098932451	0.257968458
59	0.183494907	0.811896836	0.807012545	0.557852245	0.656271696	0.084332845	0.209470518	0.129520165	0.772721725	0.605779702	0.459932015	0.599145423	0.06793737	0.147374688	0.23746965	0.851071946	1.008245387	0.655772475	0.71339797	0.100728321	0.271566349	0.180615898	0.811456183	0.80992785	0.549345161	0.652140149	0.084792498	0.200898181	0.132419968	0.769250082	0.609472735	0.463163328	0.596998198	0.07101475	0.145623144	0.228811827	0.853662285	1.010382965	0.635526993	0.707282099	0.098570246	0.256173217	0.183148348	0.811089009	0.834122806	0.541036207	0.651897096	0.082176643	0.195218542	0.135199426	0.76675229	0.613460789	0.441384392	0.600662842	0.066182812	0.134815243	0.231097269	0.855425729	1.054784823	0.640688021	0.703131351	0.098170474	0.25562184	0.181264657	0.814467238	0.822741798	0.546748604	0.651722754	0.083572525	0.201456004	0.130282545	0.773367728	0.612288646	0.446346635	0.598978243	0.06807066	0.144836252	0.232246768	0.855566748	1.03319495	0.647150574	0.704467265	0.09907439	0.258075757
60	0.182102091	0.814052388	0.790413217	0.548444948	0.650937973	0.084478863	0.207664828	0.135149637	0.773542286	0.612578595	0.461518978	0.595526854	0.069120475	0.151731952	0.229054544	0.854562489	0.968247839	0.635370919	0.706349093	0.09983725	0.263597705	0.178634043	0.811132371	0.800287773	0.548972042	0.654149966	0.084349854	0.203010353	0.13269066	0.769943623	0.610635762	0.447924389	0.602174909	0.068580425	0.14471324	0.224577426	0.85232112	0.989939785	0.650019695	0.706125023	0.100119283	0.261307466	0.17781191	0.813365126	0.820554691	0.548784398	0.651987801	0.083184726	0.198189201	0.127890769	0.772558361	0.602628128	0.444737599	0.602556927	0.06718233	0.139486148	0.227733052	0.854171891	1.038481254	0.652831197	0.701418675	0.099187122	0.256892255	0.180865517	0.814122665	0.822715767	0.54659185	0.651671495	0.083836745	0.201006826	0.130615273	0.773348994	0.613544346	0.446813506	0.599104797	0.068425866	0.145358738	0.231115762	0.854896336	1.031887188	0.646370195	0.704238193	0.099247624	0.256654913
61	0.181683246	0.812582193	0.79864388	0.551997185	0.655255909	0.084289919	0.205139599	0.13121682	0.77536149	0.602452089	0.457330662	0.596911368	0.068236665	0.144189683	0.232149671	0.849802896	0.994835671	0.646663709	0.713600449	0.100343174	0.266089515	0.183571748	0.812403689	0.804741965	0.54576114	0.654970971	0.083525692	0.203708892	0.13123462	0.773507066	0.610024981	0.450575473	0.605881621	0.067373234	0.145353127	0.235908876	0.851300312	0.99945895	0.640946806	0.704060321	0.09967815	0.262064657	0.177606292	0.813443361	0.826845197	0.54216325	0.656271064	0.083862243	0.195809388	0.132391824	0.773299418	0.596768677	0.437006554	0.607457054	0.06569217	0.139719027	0.22282076	0.853587303	1.056921718	0.647319947	0.705085075	0.102032315	0.251899749	0.180500901	0.813388968	0.822440663	0.54632419	0.652497762	0.084022834	0.200644869	0.130692368	0.772600986	0.614609638	0.44731487	0.600236148	0.068781524	0.145500075	0.230309434	0.854176951	1.030271687	0.645333509	0.704759375	0.099264144	0.255789663
62	0.175389668	0.816450391	0.797574171	0.544383487	0.654142524	0.083841266	0.207399253	0.130874356	0.77888179	0.611041716	0.457463253	0.598666982	0.069527314	0.151864957	0.21990498	0.854018993	0.984106625	0.63130372	0.709618067	0.098155217	0.262933549	0.180292891	0.81006285	0.808869725	0.548704977	0.65471531	0.085161599	0.201347012	0.133551575	0.76948645	0.592962158	0.447708049	0.606188378	0.071142696	0.14557405	0.227034206	0.85063925	1.024777291	0.649701906	0.703242243	0.099180502	0.257119975	0.177799758	0.815458645	0.828944434	0.548697731	0.653887388	0.085297118	0.197134909	0.131052591	0.774578837	0.628971049	0.441142307	0.606548443	0.066772977	0.139297079	0.224546925	0.856338452	1.028917818	0.656253156	0.701226332	0.103821259	0.254972739	0.180377141	0.813026838	0.821924322	0.546532206	0.65250202	0.084313323	0.20075945	0.131154044	0.772743878	0.615624207	0.448052313	0.600601719	0.069059166	0.146280996	0.229600238	0.853309798	1.028224438	0.6450121	0.704402321	0.099567479	0.255237905
63	0.174118558	0.810131476	0.792660671	0.553097093	0.655326312	0.084790019	0.206196945	0.131009653	0.775571789	0.602192917	0.451014261	0.60681739	0.069994042	0.15679037	0.217227464	0.844691163	0.983128424	0.655179925	0.703835235	0.099585997	0.25560352	0.176997624	0.811212728	0.811599665	0.545440298	0.651032068	0.085735416	0.203746447	0.125005987	0.772386233	0.629137492	0.435903515	0.599277894	0.070108905	0.146414715	0.228989262	0.850039223	0.994061837	0.654977081	0.702786243	0.101361926	0.26107818	0.177277184	0.809778753	0.834709275	0.548543402	0.65369363	0.084881629	0.19839439	0.126592248	0.772283015	0.635433377	0.454829648	0.605836285	0.069728305	0.143290423	0.227962121	0.847274491	1.033985174	0.642257157	0.701550976	0.100034953	0.253498357	0.180124367	0.812557064	0.821580783	0.546090322	0.652509922	0.084553576	0.200394344	0.130978673	0.772673006	0.617776019	0.449384892	0.601184842	0.069505767	0.14564287	0.229270062	0.852441122	1.025385546	0.642795753	0.703835003	0.099601385	0.255145819
64	0.180454137	0.810552969	0.787888623	0.545037634	0.648372848	0.085016169	0.206791492	0.138909045	0.770909031	0.606542803	0.446658826	0.599094583	0.069218816	0.144085528	0.221999229	0.850196907	0.969234442	0.643416442	0.697651114	0.100813523	0.269497457	0.184392919	0.808642766	0.816311713	0.549418185	0.655927283	0.086164969	0.202133185	0.133124164	0.767751499	0.595258694	0.438821845	0.597763605	0.071005562	0.144734436	0.235661673	0.849534034	1.037364732	0.660014525	0.714090962	0.101324377	0.259531933	0.179478861	0.812870212	0.851772994	0.552897519	0.656293662	0.084336271	0.19504321	0.127811435	0.777605197	0.629124977	0.45385987	0.604884857	0.068531191	0.147133519	0.231146286	0.848135228	1.074421011	0.651935168	0.707702467	0.100141351	0.242952902	0.180267385	0.811834506	0.821748054	0.546430185	0.653103664	0.084701788	0.200328196	0.131591348	0.772306157	0.620083834	0.44933637	0.601951574	0.069778126	0.146317029	0.228943422	0.851362856	1.023412274	0.643524001	0.704255755	0.099625449	0.254339363
65	0.178603286	0.811958182	0.789606532	0.547075085	0.656005188	0.085759359	0.203933272	0.134191863	0.778042699	0.584361893	0.439541611	0.606650184	0.070547711	0.14455268	0.223014709	0.845873665	0.99485117	0.65460856	0.705360192	0.100971008	0.263313864	0.180551794	0.813701501	0.805929673	0.551751513	0.652084763	0.085674369	0.204484197	0.133482401	0.778107435	0.636935119	0.44467258	0.600161349	0.072049186	0.140913821	0.227621187	0.849295567	0.974924228	0.658830445	0.704008178	0.099299552	0.268054573	0.179926213	0.813118313	0.83040512	0.542799692	0.655313236	0.085051306	0.199322527	0.131931792	0.776913537	0.624771164	0.463863091	0.606989701	0.070295661	0.150838579	0.227920635	0.84932309	1.036039076	0.621736294	0.703636771	0.099806951	0.247806474	0.17984019	0.811495328	0.8204513	0.546880702	0.653354921	0.085136282	0.20039005	0.131955762	0.772218912	0.620370105	0.451475315	0.602593882	0.070283895	0.147664583	0.227724617	0.850771743	1.020532496	0.642286088	0.704115959	0.099988669	0.253115517
66	0.180690413	0.808733032	0.789358278	0.546344949	0.654659865	0.086372203	0.201681169	0.134246644	0.763561054	0.565756434	0.456074636	0.608101192	0.071787944	0.145890326	0.227134182	0.85390501	1.012960123	0.636615262	0.701218537	0.100956462	0.257472011	0.182771283	0.807930877	0.809284299	0.556751823	0.651233967	0.085608714	0.201363577	0.134336132	0.771278818	0.617656322	0.454944164	0.598004085	0.070161943	0.15315879	0.231206433	0.844582936	1.000912277	0.658559481	0.70446385	0.101055486	0.249568364	0.17795505	0.806211727	0.822820309	0.545766507	0.658125521	0.084833459	0.19553173	0.129404977	0.770986926	0.623117365	0.451410425	0.613747863	0.070039539	0.14572824	0.226505122	0.841436528	1.022523253	0.640122588	0.702503179	0.099627378	0.24533522	0.180012829	0.811107825	0.821262249	0.546197581	0.653635246	0.085272085	0.199930795	0.131984515	0.772364966	0.620798459	0.45165608	0.602852995	0.070431614	0.146926773	0.228041143	0.849850684	1.021726038	0.640739081	0.704417496	0.100112557	0.252934816
67	0.180569127	0.813199014	0.808332109	0.546096544	0.651101624	0.086491474	0.203884623	0.135059644	0.773422015	0.629639492	0.458105607	0.60309672	0.070414386	0.15697857	0.22607861	0.852976012	0.987024727	0.634087481	0.699106527	0.102568562	0.250790676	0.183298351	0.810719061	0.79046509	0.543928896	0.652760836	0.086662341	0.202136408	0.131714199	0.773533116	0.609476195	0.451813592	0.603672485	0.073587993	0.146979591	0.234882503	0.847905006	0.971453985	0.636044199	0.701849187	0.099736688	0.257293226	0.178288178	0.811963397	0.832948608	0.550666113	0.653521448	0.085777686	0.199471949	0.130100105	0.773333111	0.646573657	0.454538077	0.610921804	0.070705797	0.144015757	0.226476251	0.850593683	1.01932356	0.64679415	0.696121093	0.100849576	0.254928142	0.17948472	0.810841813	0.821753028	0.546271864	0.653977192	0.085543747	0.199764068	0.131753516	0.772431146	0.623232197	0.45272351	0.604190295	0.070929609	0.147421177	0.227215924	0.849252479	1.020273858	0.639820218	0.703764089	0.100157885	0.252106958
68	0.180354355	0.806807362	0.790002228	0.546962759	0.656939199	0.085155953	0.207011245	0.13724623	0.770004526	0.592424019	0.46161241	0.61222864	0.069529556	0.155102414	0.223462481	0.843610198	0.987580436	0.632313108	0.701649759	0.10078235	0.258920077	0.180607205	0.810068203	0.814180604	0.55028106	0.654180265	0.085686039	0.198626199	0.130951683	0.771593082	0.638074329	0.457327466	0.603350055	0.070442719	0.140573214	0.230262726	0.848543325	0.990286879	0.643234653	0.705010475	0.100929358	0.256679184	0.180280356	0.811177193	0.813715576	0.554236658	0.655438411	0.08441462	0.195874047	0.131209283	0.770925002	0.598543919	0.459481527	0.606623061	0.071383792	0.147835157	0.229351429	0.851429384	1.028887233	0.648991788	0.704253761	0.097445448	0.243912937	0.179556365	0.810327098	0.818966819	0.545868267	0.654191524	0.085571887	0.19966866	0.132454101	0.771493292	0.623490461	0.452218737	0.60415012	0.07107331	0.147404562	0.22665863	0.849160904	1.014443177	0.639517797	0.704232928	0.100070463	0.251932757
69	0.181498619	0.809975554	0.785111387	0.546017306	0.654504589	0.086483481	0.203529165	0.137497528	0.770123144	0.595374299	0.449843396	0.609919757	0.073308533	0.150006829	0.22549971	0.849827963	0.974848474	0.642191217	0.699089421	0.099658429	0.2570515	0.18301191	0.808647465	0.795978269	0.549220588	0.652592445	0.086747399	0.202557415	0.132006561	0.771186451	0.600870655	0.460079109	0.598756387	0.07276363	0.145795825	0.234017258	0.846108478	0.991085884	0.638362067	0.706428504	0.100731169	0.259319006	0.18363475	0.805606576	0.803428113	0.543127986	0.658895204	0.085762225	0.197120959	0.135307724	0.768131362	0.618880058	0.452664727	0.605876282	0.070805536	0.14447574	0.231961777	0.843081789	0.987976169	0.633591245	0.711914126	0.100718914	0.249766178	0.179404057	0.80990246	0.820755785	0.546760248	0.654208534	0.085922014	0.199708948	0.132955733	0.771619905	0.624201891	0.454452914	0.604029692	0.071534025	0.147920987	0.22585238	0.848185015	1.017309679	0.639067581	0.704387376	0.100310003	0.251496909
70	0.17979329	0.808912501	0.78686477	0.547968579	0.655266815	0.086287104	0.201555107	0.134801241	0.77322817	0.597295897	0.454890576	0.605644454	0.072514513	0.145227449	0.22478534	0.844596832	0.976433643	0.641046583	0.704889177	0.100059695	0.257882766	0.18020196	0.807652329	0.795314631	0.549404018	0.655313211	0.085549879	0.201062855	0.137140203	0.765554198	0.633208001	0.462673655	0.612685579	0.06925494	0.15194687	0.223263716	0.84975046	0.957421261	0.636134382	0.697940842	0.101844818	0.250178841	0.177095793	0.808551471	0.826370753	0.550909878	0.65294961	0.085202998	0.20018209	0.128611883	0.768690421	0.641865348	0.457762174	0.599424077	0.071595214	0.144626518	0.225579703	0.84841252	1.010876159	0.644057582	0.706475142	0.098810782	0.255737661	0.17954295	0.809447567	0.818326612	0.546657953	0.654502469	0.086042218	0.199305728	0.133135882	0.771330293	0.62501869	0.45454893	0.604992193	0.071807057	0.147993628	0.225950018	0.847564841	1.011634534	0.638766977	0.704012745	0.10027738	0.250617827
71	0.181465967	0.806914499	0.780496846	0.549481003	0.655894176	0.086881325	0.202747399	0.136771122	0.767678866	0.594004473	0.464500239	0.604549779	0.072908986	0.152406735	0.226160812	0.846150133	0.966989219	0.634461768	0.707238573	0.100853664	0.253088063	0.177203842	0.805532426	0.78804785	0.554645434	0.650632257	0.087020966	0.201572884	0.126371013	0.769227978	0.599413039	0.460628204	0.601981044	0.072063211	0.148390877	0.228036671	0.841836875	0.976682662	0.648662664	0.699283469	0.101978722	0.254754892	0.179036584	0.811797384	0.844441249	0.548507665	0.655783007	0.085839394	0.193877553	0.135344868	0.779046925	0.653531005	0.455535597	0.612427006	0.072492704	0.145804588	0.2227283	0.844547844	1.035351492	0.641479732	0.699139008	0.099186083	0.241950517	0.179236852	0.809107112	0.819034347	0.546117777	0.654803235	0.08629754	0.199390457	0.132902056	0.771770356	0.6256908	0.455332587	0.605234033	0.072114938	0.147996553	0.225571649	0.846443868	1.012377894	0.636902966	0.704372437	0.100480142	0.250784361
72	0.178928255	0.811616103	0.800637465	0.546614139	0.65611339	0.086978142	0.20174634	0.134460282	0.774204431	0.611918682	0.460476777	0.612515019	0.0726879	0.147764561	0.223396228	0.849027774	0.989356248	0.632751502	0.699711761	0.101268383	0.255728118	0.178249423	0.809254692	0.801834871	0.552692665	0.653507897	0.087128461	0.201429591	0.134071165	0.772229707	0.596614546	0.470744901	0.610954463	0.07112227	0.153183549	0.222427681	0.846279676	1.007055195	0.634640429	0.69606133	0.103134652	0.249675632	0.175525714	0.807272418	0.812870743	0.546639435	0.660453365	0.086791807	0.198665593	0.129723645	0.768675406	0.609236988	0.450641064	0.60825378	0.072022224	0.149137481	0.221327784	0.845869431	1.016504498	0.642637806	0.71265295	0.101561389	0.248193704	0.178928643	0.808928381	0.817416871	0.546817769	0.655092351	0.086411952	0.199236261	0.132979406	0.771269971	0.627726109	0.454874258	0.605892233	0.07225827	0.148251925	0.22487788	0.846586791	1.007107633	0.638761279	0.70429247	0.100565634	0.250220598
73	0.175779649	0.807912671	0.789442141	0.538421824	0.6590772	0.086507635	0.198401843	0.128909487	0.774458322	0.613409404	0.449583849	0.613767488	0.074097768	0.146424372	0.22264981	0.84136702	0.965474878	0.627259798	0.704386913	0.098917501	0.250379314	0.177017143	0.807684928	0.795671307	0.547104604	0.654376736	0.087910068	0.198101577	0.133013605	0.773754709	0.608410794	0.463685756	0.606501446	0.073699231	0.148984538	0.22102068	0.841615147	0.98293182	0.630523452	0.702252026	0.102120905	0.247218616	0.17580337	0.807534803	0.826959751	0.555237347	0.655462842	0.086071775	0.196232525	0.130475571	0.768876719	0.632905317	0.46893629	0.603770072	0.071877048	0.146459743	0.221131169	0.846192886	1.021014185	0.641538405	0.707155612	0.100266503	0.246005307	0.179111042	0.808454037	0.819788656	0.546651366	0.655334283	0.086548415	0.199137303	0.133500835	0.771408704	0.62908073	0.457597587	0.606194335	0.07256831	0.147976028	0.224721249	0.845499369	1.010496582	0.635705146	0.704474231	0.100528519	0.250298577
74	0.181822251	0.807138612	0.786015258	0.554398709	0.657408503	0.086204868	0.207805403	0.138629034	0.773597995	0.609448726	0.473705202	0.605675949	0.072137907	0.157203271	0.225015468	0.840679229	0.962581791	0.635092215	0.709141058	0.10027183	0.258407536	0.181662814	0.809094804	0.798208623	0.546510504	0.657714876	0.086247725	0.206365327	0.131977732	0.772754301	0.603495484	0.460673775	0.614795592	0.073552789	0.149593369	0.231347896	0.845435307	0.992921762	0.632347233	0.700634161	0.09894266	0.263137285	0.17935653	0.807059483	0.817163205	0.547946271	0.660644871	0.087044164	0.194152626	0.132557651	0.7696051	0.634537106	0.468263821	0.614849481	0.072708535	0.145594448	0.22615541	0.844513866	0.999789304	0.627628721	0.706440261	0.101379793	0.242710805	0.178748168	0.808309097	0.818096762	0.546827386	0.655260693	0.086692246	0.198952208	0.133538471	0.771486569	0.627451192	0.457448462	0.606931751	0.072744341	0.148832986	0.223957865	0.845131625	1.008742332	0.636206309	0.703589635	0.100640151	0.24907143
75	0.181334122	0.805461006	0.800300797	0.545842367	0.652213031	0.087972092	0.200587124	0.139930905	0.770438359	0.631539789	0.462969608	0.603096804	0.072607768	0.15117085	0.222737339	0.840483652	0.969061806	0.628715125	0.701329258	0.103336416	0.250003398	0.180967481	0.804863807	0.795499794	0.541529094	0.655108435	0.086549791	0.201916702	0.134359777	0.759873641	0.620833237	0.453935064	0.605485505	0.074046352	0.151789973	0.227575185	0.849853972	0.970166351	0.629123124	0.704731366	0.09905323	0.25204343	0.176673938	0.80600703	0.831707936	0.54969027	0.662903486	0.088347015	0.197110101	0.137256128	0.769582891	0.658947198	0.461288505	0.613983266	0.074397049	0.147416831	0.216091747	0.842431169	1.004468673	0.638092034	0.711823705	0.10229698	0.246803372	0.178796859	0.807610243	0.816477408	0.546676159	0.655299351	0.087027065	0.198791574	0.134141236	0.770606255	0.629626951	0.458318868	0.606857598	0.073054287	0.149092237	0.223452481	0.844614231	1.003327864	0.635033451	0.703741103	0.100999843	0.24849091
