SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	ymin.r2.M3	ymin.i.M3	ymin.r.M3	ymin.e.M3	ymin.f.M3	ymin.c.M3	ymin.vc.M3	ymax.r2.M3	ymax.i.M3	ymax.r.M3	ymax.e.M3	ymax.f.M3	ymax.c.M3	ymax.vc.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	ymin.r2.M2	ymin.i.M2	ymin.r.M2	ymin.e.M2	ymin.f.M2	ymin.c.M2	ymin.vc.M2	ymax.r2.M2	ymax.i.M2	ymax.r.M2	ymax.e.M2	ymax.f.M2	ymax.c.M2	ymax.vc.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1	ymin.r2.M1	ymin.i.M1	ymin.r.M1	ymin.e.M1	ymin.f.M1	ymin.c.M1	ymin.vc.M1	ymax.r2.M1	ymax.i.M1	ymax.r.M1	ymax.e.M1	ymax.f.M1	ymax.c.M1	ymax.vc.M1
30	0.51467986	0.924628476	1.225069967	0.529448891	0.416440094	0.021097793	0.570034652	0.388754308	0.889107388	0.637099048	0.296558455	0.347297127	0.014918965	0.430279199	0.640605411	0.960149563	1.813040886	0.762339326	0.485583061	0.027276621	0.709790105	0.186866928	0.85053479	0.884341571	0.557523912	0.628555775	0.06747386	0.216637004	0.115736923	0.797219893	0.557849703	0.415926872	0.565417825	0.048233466	0.124877036	0.257996932	0.903849688	1.210833439	0.699120952	0.691693726	0.086714254	0.308396972	0.11182042	0.793046388	0.77419537	0.568068106	0.689181718	0.101200742	0.123855943	0.081776113	0.717255979	0.577457955	0.432085846	0.629825182	0.072223437	0.090693239	0.141864728	0.868836796	0.970932785	0.704050365	0.748538255	0.130178047	0.157018647
31	0.501428638	0.923661835	1.269270635	0.535881441	0.420073018	0.021401898	0.5636034	0.393100028	0.893944343	0.669880887	0.336610987	0.353756463	0.014512631	0.440819534	0.609757248	0.953379327	1.868660383	0.735151896	0.486389573	0.028291164	0.686387266	0.194437685	0.850430228	0.881931291	0.563369389	0.630408685	0.068965039	0.210593411	0.116783035	0.799316221	0.589949972	0.428057328	0.56467492	0.04902873	0.118272185	0.272092335	0.901544234	1.173912611	0.69868145	0.696142451	0.088901348	0.302914638	0.111220738	0.794000432	0.80466739	0.560710753	0.691730116	0.105738276	0.124146624	0.077017895	0.735235297	0.613619253	0.431714424	0.639791231	0.076857033	0.091704091	0.145423581	0.852765568	0.995715527	0.689707082	0.743669002	0.134619519	0.156589157
32	0.505471953	0.922501087	1.248939528	0.570342408	0.41656656	0.021309712	0.557199647	0.387293631	0.888962515	0.607281026	0.324919159	0.34738007	0.015144052	0.412548122	0.623650275	0.956039659	1.89059803	0.815765657	0.48575305	0.027475372	0.701851172	0.187072902	0.847430286	0.857234084	0.562748937	0.630198396	0.072163594	0.209294331	0.123520799	0.793690426	0.572465155	0.426048168	0.565073963	0.054290301	0.130413633	0.250625005	0.901170146	1.142003013	0.699449707	0.695322829	0.090036886	0.288175028	0.111898412	0.786229978	0.789867688	0.563605388	0.689805369	0.104245607	0.120553545	0.081196149	0.725118074	0.583956603	0.448643389	0.638922746	0.076508561	0.085591	0.142600675	0.847341882	0.995778773	0.678567386	0.740687993	0.131982654	0.155516091
33	0.499934053	0.92270533	1.1974799	0.554233047	0.413492146	0.021956973	0.560553135	0.385141808	0.885940644	0.644505074	0.32020373	0.352105172	0.015754857	0.42674299	0.614726299	0.959470017	1.750454726	0.788262364	0.47487912	0.028159089	0.69436328	0.187561076	0.843641273	0.874710708	0.558456889	0.630788335	0.071168055	0.215816795	0.113977512	0.787973808	0.587864292	0.405725485	0.564299316	0.051919363	0.13858179	0.261144641	0.899308737	1.161557124	0.711188294	0.697277355	0.090416747	0.293051801	0.108206737	0.790361415	0.798295969	0.566661269	0.696446295	0.105913746	0.121839621	0.075430917	0.723935022	0.560846589	0.435691665	0.646380513	0.076063739	0.092423455	0.140982556	0.856787809	1.03574535	0.697630872	0.746512076	0.135763752	0.151255786
34	0.505992468	0.920126961	1.272662757	0.57775596	0.413362644	0.021741837	0.561796235	0.386026641	0.888880916	0.748519309	0.343101836	0.355405924	0.015678618	0.435106215	0.625958295	0.951373006	1.796806204	0.812410085	0.471319363	0.027805057	0.688486254	0.189140543	0.839145114	0.874605917	0.565447191	0.630968007	0.071464763	0.213930625	0.113386051	0.784320331	0.597685319	0.419110545	0.573807481	0.05081932	0.135636163	0.264895034	0.893969898	1.151526516	0.711783838	0.688128533	0.092110206	0.292225087	0.108334669	0.785804706	0.794856193	0.562676648	0.691841353	0.107447144	0.118331798	0.077735058	0.710564203	0.591166211	0.457384546	0.641106345	0.078710234	0.086916477	0.13893428	0.86104521	0.998546174	0.66796875	0.74257636	0.136184053	0.149747118
35	0.492038344	0.919172347	1.188860694	0.564961921	0.415582533	0.022528294	0.555154978	0.374089637	0.88825213	0.606308064	0.312375815	0.358606562	0.017290997	0.43255028	0.609987051	0.950092564	1.771413324	0.817548028	0.472558503	0.027765592	0.677759676	0.189082855	0.836122814	0.850443556	0.555823496	0.629740963	0.071879459	0.211831339	0.123391865	0.779039033	0.585260783	0.416991908	0.568393474	0.052701108	0.137112239	0.254773846	0.893206595	1.115626329	0.694655084	0.691088452	0.091057811	0.286550439	0.105476557	0.787351936	0.795383478	0.570119292	0.691361093	0.10834842	0.120282227	0.079558305	0.727201533	0.571988156	0.452521865	0.636924822	0.08514726	0.083051029	0.131394809	0.84750234	1.0187788	0.687716718	0.745797364	0.131549581	0.157513424
36	0.505306934	0.918108191	1.205168924	0.539061923	0.415198319	0.022857248	0.564427405	0.392007086	0.884509907	0.641893855	0.341592447	0.361603279	0.01671601	0.449284201	0.618606782	0.951706475	1.768443993	0.7365314	0.46879336	0.028998486	0.67957061	0.183426385	0.83541385	0.851777306	0.558822342	0.631767434	0.071689287	0.212440992	0.115179401	0.779034359	0.592300347	0.440656785	0.57600005	0.052017852	0.12624463	0.251673369	0.891793342	1.111254264	0.676987899	0.687534817	0.091360722	0.298637353	0.107986237	0.777911612	0.797080395	0.571595556	0.697905985	0.110363905	0.122261027	0.075613843	0.72333282	0.609774515	0.453787894	0.646693491	0.082261713	0.090994653	0.14035863	0.832490403	0.984386274	0.689403219	0.749118479	0.138466098	0.1535274
37	0.501164039	0.919071325	1.265945217	0.569986925	0.418278873	0.022467357	0.568067304	0.394958415	0.885937339	0.745303669	0.335060178	0.368132034	0.016436169	0.43998232	0.607369662	0.952205312	1.786586765	0.804913673	0.468425712	0.028498544	0.696152289	0.185012568	0.839660192	0.866335948	0.55809643	0.637228356	0.076172138	0.205575896	0.11964233	0.793742231	0.605524437	0.420721741	0.581781212	0.057905796	0.149684701	0.250382806	0.885578153	1.127147459	0.695471118	0.692675499	0.09443848	0.261467091	0.10644847	0.77699315	0.784016522	0.57405163	0.699428232	0.10975242	0.119979834	0.077604063	0.714505114	0.570136231	0.454799557	0.648549891	0.084205152	0.089971132	0.135292877	0.839481186	0.997896813	0.693303702	0.750306574	0.135299688	0.149988536
38	0.494739906	0.920040667	1.230210218	0.548632474	0.415171836	0.02320088	0.560567992	0.393529628	0.888504089	0.673823263	0.362046962	0.348271182	0.017627279	0.438890971	0.595950185	0.951577245	1.786597172	0.735217986	0.48207249	0.028774482	0.682245013	0.190148397	0.832997927	0.878981744	0.564304423	0.632718901	0.076888742	0.21192064	0.128694101	0.777577447	0.634533093	0.437853454	0.577718181	0.054887116	0.138860463	0.251602693	0.888418406	1.123430396	0.690755391	0.687719621	0.098890368	0.284980818	0.107662923	0.780234026	0.772981702	0.564657164	0.700954906	0.112357558	0.118617238	0.078443372	0.714471536	0.566965436	0.445841494	0.651903009	0.083784288	0.084997389	0.136882474	0.845996516	0.978997968	0.683472833	0.750006803	0.140930828	0.152237086
39	0.503069169	0.916756952	1.249643618	0.564411914	0.415270483	0.023459228	0.570786991	0.399691677	0.884038879	0.592771084	0.35037269	0.353525384	0.018504629	0.457807455	0.606446661	0.949475025	1.906516152	0.778451139	0.477015582	0.028413826	0.683766527	0.185812612	0.83740257	0.869524782	0.579018863	0.637956054	0.07450098	0.207159572	0.120191223	0.794662554	0.562820698	0.439636001	0.579079059	0.056642554	0.125547166	0.251434002	0.880142586	1.176228867	0.718401725	0.696833049	0.092359406	0.288771979	0.105187295	0.778337456	0.792492453	0.554087978	0.699337262	0.112949503	0.116660579	0.071977801	0.721454368	0.58298696	0.423877968	0.646258055	0.087604785	0.088498446	0.13839679	0.835220544	1.001997945	0.684297988	0.752416469	0.138294222	0.144822711
