SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	ymin.r2.M3	ymin.i.M3	ymin.r.M3	ymin.e.M3	ymin.f.M3	ymin.c.M3	ymin.vc.M3	ymax.r2.M3	ymax.i.M3	ymax.r.M3	ymax.e.M3	ymax.f.M3	ymax.c.M3	ymax.vc.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	ymin.r2.M2	ymin.i.M2	ymin.r.M2	ymin.e.M2	ymin.f.M2	ymin.c.M2	ymin.vc.M2	ymax.r2.M2	ymax.i.M2	ymax.r.M2	ymax.e.M2	ymax.f.M2	ymax.c.M2	ymax.vc.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1	ymin.r2.M1	ymin.i.M1	ymin.r.M1	ymin.e.M1	ymin.f.M1	ymin.c.M1	ymin.vc.M1	ymax.r2.M1	ymax.i.M1	ymax.r.M1	ymax.e.M1	ymax.f.M1	ymax.c.M1	ymax.vc.M1
50	0.50503998	0.912169368	1.21758955	0.563293268	0.414387959	0.024993151	0.564171344	0.416224174	0.883636717	0.730962581	0.374782849	0.362395245	0.020093106	0.469733916	0.593855785	0.94070202	1.70421652	0.751803687	0.466380673	0.029893197	0.658608773	0.184618882	0.828022684	0.856494311	0.557911889	0.635703018	0.080582767	0.215201526	0.12792247	0.786431986	0.624979791	0.454815766	0.579324118	0.062726008	0.148383416	0.241315295	0.869613383	1.08800883	0.661008012	0.692081917	0.098439525	0.282019635	0.10181105	0.764832912	0.770456847	0.563138029	0.711212947	0.118926307	0.115474668	0.079530787	0.710692422	0.621260294	0.47042427	0.661380514	0.096845499	0.086560419	0.124091313	0.818973402	0.919653399	0.655851788	0.76104538	0.141007115	0.144388917
51	0.501705496	0.911737893	1.205319221	0.558542022	0.413104832	0.024996439	0.558456922	0.406884534	0.884146535	0.738900544	0.369009867	0.362898117	0.019697358	0.439587085	0.596526458	0.939329251	1.671737898	0.748074177	0.463311548	0.03029552	0.677326759	0.185632212	0.824219358	0.841177231	0.555277466	0.639142679	0.081792183	0.203576146	0.134074304	0.78132836	0.638959334	0.438542955	0.590618378	0.064853712	0.13915988	0.23719012	0.867110356	1.043395129	0.672011977	0.68766698	0.098730655	0.267992412	0.101130573	0.760771445	0.776206013	0.569297611	0.710556723	0.120239957	0.11160098	0.077415118	0.706858669	0.597183561	0.463300615	0.667543251	0.094779764	0.087142072	0.124846029	0.814684222	0.955228464	0.675294608	0.753570194	0.14570015	0.136059887
52	0.506852992	0.90962488	1.242923209	0.564979349	0.418179027	0.025242698	0.555558585	0.424084257	0.880768672	0.680852738	0.37904088	0.366007087	0.019659936	0.45520995	0.589621727	0.938481088	1.80499368	0.750917818	0.470350968	0.030825459	0.65590722	0.181068322	0.825046179	0.851794474	0.560852292	0.644468004	0.083085705	0.199630421	0.123705304	0.782011396	0.605448344	0.450963089	0.596574675	0.066465832	0.143746795	0.23843134	0.868080961	1.098140603	0.670741495	0.692361332	0.099705579	0.255514047	0.100554832	0.758700758	0.766489517	0.561157767	0.709884919	0.121318613	0.112648756	0.079699225	0.704558446	0.614325486	0.461791482	0.659624442	0.098493738	0.086551724	0.121410439	0.812843069	0.918653548	0.660524051	0.760145397	0.144143487	0.138745788
53	0.506197962	0.908737547	1.205342118	0.546965631	0.412072498	0.02533646	0.556124921	0.416027263	0.8758069	0.782616923	0.374265	0.360154015	0.020418232	0.463530731	0.596368661	0.941668193	1.628067313	0.719666263	0.463990981	0.030254687	0.648719111	0.179088048	0.823951484	0.863140396	0.568397285	0.641943361	0.083590188	0.203929926	0.12670745	0.771904835	0.624536572	0.453666414	0.591293329	0.069802066	0.143498907	0.231468645	0.875998132	1.10174422	0.683128156	0.692593394	0.09737831	0.264360945	0.101589554	0.757793767	0.767098691	0.567404201	0.710519505	0.121028314	0.111040551	0.08143729	0.704252104	0.626564828	0.471234994	0.669994904	0.101209179	0.082445969	0.121741817	0.81133543	0.907632554	0.663573407	0.751044106	0.140847448	0.139635133
54	0.500453388	0.911544211	1.254882846	0.549771167	0.413940145	0.025113844	0.552408051	0.426059155	0.881208871	0.791175121	0.370040332	0.360581591	0.020463947	0.457971587	0.57484762	0.941879552	1.718590571	0.729502001	0.4672987	0.029763742	0.646844515	0.17962949	0.82309745	0.836208368	0.563075624	0.641450726	0.081991432	0.205078253	0.124551006	0.783537999	0.629957348	0.457398565	0.589055993	0.067282851	0.139888743	0.234707974	0.862656902	1.042459388	0.668752683	0.693845459	0.096700014	0.270267762	0.100340477	0.76062914	0.777959562	0.568692503	0.711547372	0.121031037	0.111905949	0.078759227	0.706058153	0.593517702	0.468897871	0.671859929	0.096323854	0.087613356	0.121921727	0.815200127	0.962401421	0.668487135	0.751234815	0.14573822	0.136198543
55	0.49561249	0.912254446	1.245413008	0.545698807	0.415817712	0.025645677	0.558261554	0.410847029	0.887076761	0.856129156	0.350389524	0.358197581	0.020725838	0.460988233	0.580377952	0.93743213	1.63469686	0.74100809	0.473437844	0.030565516	0.655534874	0.179109998	0.818319235	0.849358122	0.559757476	0.642313881	0.084513331	0.202951672	0.130356586	0.776406424	0.658636397	0.45333198	0.593430086	0.067700884	0.139444376	0.22786341	0.860232046	1.040079846	0.666182973	0.691197677	0.101325779	0.266458967	0.100987499	0.762084882	0.76330302	0.561093735	0.709157355	0.123397201	0.11017157	0.079391764	0.714228565	0.605869425	0.459530892	0.665566078	0.099589321	0.086920128	0.122583234	0.809941199	0.920736615	0.662656578	0.752748633	0.14720508	0.133423013
56	0.500991403	0.910445772	1.189586167	0.564221935	0.414426858	0.025290285	0.5621383	0.40984131	0.879410845	0.808479384	0.385383703	0.362655714	0.020464231	0.468722888	0.592141496	0.941480699	1.570692949	0.743060167	0.466198001	0.030116339	0.655553712	0.183140318	0.822407079	0.868017721	0.553719381	0.643230826	0.084517063	0.202731159	0.131560392	0.781284718	0.626802529	0.42876177	0.5897505	0.068024865	0.145598924	0.234720243	0.863529439	1.109232913	0.678676991	0.696711151	0.101009262	0.259863395	0.098960171	0.758098219	0.770604012	0.562412106	0.710853612	0.122755268	0.112383965	0.077607009	0.710221903	0.613460865	0.460322587	0.670000898	0.099356892	0.083962477	0.120313333	0.805974534	0.927747159	0.664501625	0.751706325	0.146153644	0.140805453
57	0.503495041	0.90970319	1.17960281	0.553509398	0.416240373	0.025747274	0.566634936	0.426181793	0.883035152	0.682389746	0.407763747	0.368098272	0.020693584	0.457771663	0.580808289	0.936371228	1.676815875	0.699255048	0.464382473	0.030800964	0.675498209	0.180461182	0.821394198	0.863211812	0.562331433	0.650451424	0.084860726	0.203391499	0.128239985	0.782898728	0.626315628	0.434536876	0.604032546	0.070028431	0.147558142	0.232682379	0.859889667	1.100107997	0.69012599	0.696870302	0.099693021	0.259224855	0.098654751	0.759659484	0.761405219	0.564352613	0.713920309	0.123154403	0.112313777	0.079578691	0.707828484	0.616625907	0.473561484	0.673763794	0.103653546	0.090629821	0.117730811	0.811490484	0.906184531	0.655143741	0.754076825	0.142655259	0.133997733
58	0.503134291	0.909780888	1.251279608	0.55454835	0.418630362	0.025462239	0.556050298	0.420614469	0.882232054	0.773410675	0.389181269	0.35906885	0.020248475	0.453219374	0.585654112	0.937329722	1.729148541	0.719915431	0.478191874	0.030676003	0.658881222	0.183133495	0.821673109	0.844758531	0.558787433	0.643534355	0.083845604	0.200237007	0.125430274	0.78192064	0.636949832	0.458334659	0.587517053	0.068626331	0.143370819	0.240836715	0.861425579	1.052567229	0.659240207	0.699551658	0.099064877	0.257103195	0.100563886	0.754979795	0.762483628	0.55748862	0.715560601	0.122225696	0.111161668	0.08065282	0.704097162	0.587687046	0.483824439	0.678026151	0.100907065	0.086146339	0.120474953	0.805862427	0.937280209	0.631152802	0.753095051	0.143544328	0.136176996
59	0.503190765	0.908687889	1.218493202	0.563496043	0.420272405	0.026150333	0.560191348	0.416078166	0.881726702	0.786261381	0.392399509	0.37347587	0.020763986	0.454908879	0.590303364	0.935649076	1.650725023	0.734592577	0.46706894	0.03153668	0.665473817	0.173831886	0.822524928	0.865977527	0.55185264	0.647293297	0.084497929	0.206437122	0.122450227	0.787001551	0.621569006	0.464413143	0.594127047	0.067187304	0.145312337	0.225213546	0.858048306	1.110386049	0.639292136	0.700459547	0.101808553	0.267561907	0.100287358	0.759667134	0.752375867	0.56321584	0.711612707	0.124770526	0.110973041	0.077939151	0.707140122	0.597826265	0.464521663	0.670530967	0.102336328	0.083596001	0.122635565	0.812194145	0.90692547	0.661910018	0.752694446	0.147204724	0.138350081
60	0.505622971	0.909210453	1.263937275	0.56250286	0.414122706	0.025564691	0.558902348	0.422617823	0.880543904	0.770410198	0.40055806	0.366252991	0.020749943	0.464457974	0.588628118	0.937877001	1.757464351	0.724447659	0.461992421	0.03037944	0.653346722	0.182686228	0.820078905	0.837858646	0.551261566	0.643566772	0.086139529	0.207517506	0.134519218	0.782536079	0.611860806	0.455544411	0.592942066	0.070568644	0.147123954	0.230853238	0.857621732	1.063856485	0.646978722	0.694191478	0.101710413	0.267911059	0.098335	0.754781978	0.77557695	0.568531559	0.711733243	0.124947624	0.110361342	0.07645863	0.702359545	0.616815	0.465877154	0.669478433	0.103143659	0.088492505	0.12021137	0.807204411	0.9343389	0.671185963	0.753988053	0.146751588	0.132230179
61	0.49935519	0.908571023	1.232520373	0.54949144	0.418987576	0.025993736	0.556631688	0.414048769	0.882106758	0.704267699	0.383490791	0.367768756	0.022061905	0.473037038	0.58466161	0.935035288	1.760773048	0.71549209	0.470206395	0.029925567	0.640226339	0.180833008	0.817162698	0.833474135	0.560584375	0.64517742	0.083915729	0.202057079	0.132055749	0.776773745	0.616911512	0.459382213	0.592727093	0.066914142	0.145765728	0.229610267	0.857551651	1.050036758	0.661786537	0.697627747	0.100917315	0.258348429	0.098965965	0.755167854	0.773038926	0.563958635	0.716576261	0.125142112	0.107083202	0.077044873	0.704594079	0.630906886	0.467817657	0.673933822	0.102242566	0.084803703	0.120887056	0.805741629	0.915170966	0.660099614	0.759218699	0.148041658	0.129362701
62	0.495090217	0.908469697	1.255193725	0.556365698	0.418821135	0.025966014	0.551719604	0.414227961	0.882911669	0.803913647	0.366033971	0.363648611	0.021498709	0.4654141	0.575952473	0.934027726	1.706473803	0.746697426	0.47399366	0.03043332	0.638025109	0.180708904	0.820509782	0.839743653	0.554293515	0.645027448	0.08329182	0.203288041	0.129551687	0.782992332	0.643722628	0.445880875	0.595249242	0.068115021	0.141858701	0.231866121	0.858027232	1.035764679	0.662706155	0.694805653	0.098468619	0.264717381	0.096639714	0.750838709	0.753018984	0.569444667	0.716103004	0.126627701	0.108627686	0.078666781	0.701606312	0.604820417	0.478599057	0.67497157	0.105407039	0.088065516	0.114612647	0.800071105	0.90121755	0.660290277	0.757234438	0.147848363	0.129189856
63	0.505953773	0.908889155	1.211447639	0.557549877	0.413189261	0.025674984	0.551107794	0.42478236	0.886309535	0.741537019	0.386400328	0.360367416	0.02141101	0.467011309	0.587125187	0.931468775	1.68135826	0.728699427	0.466011106	0.029938957	0.635204279	0.181951431	0.821368885	0.840469635	0.565749598	0.647495858	0.085042179	0.205927158	0.125085729	0.783771734	0.621403087	0.472726088	0.600953964	0.070036159	0.144300641	0.238817133	0.858966036	1.059536182	0.658773108	0.694037752	0.100048199	0.267553674	0.096230173	0.758234497	0.769649167	0.565417439	0.712277627	0.125149016	0.107096689	0.075676695	0.708031368	0.613845685	0.46910655	0.67158218	0.106005074	0.087593643	0.11678365	0.808437626	0.92545265	0.661728327	0.752973075	0.144292959	0.126599735
64	0.505701586	0.904770841	1.215087483	0.54047143	0.416632402	0.026058783	0.565010707	0.419850187	0.879513485	0.810089697	0.396222913	0.369909811	0.021267269	0.486123475	0.591552985	0.930028196	1.620085268	0.684719947	0.463354994	0.030850298	0.64389794	0.180333558	0.817143826	0.844781458	0.565372118	0.648064918	0.084690987	0.198698835	0.131920875	0.774890484	0.627046886	0.466741497	0.605003621	0.069531407	0.139915857	0.228746241	0.859397168	1.06251603	0.664002739	0.691126214	0.099850566	0.257481813	0.099580445	0.750396447	0.755584491	0.566310117	0.716395134	0.124349671	0.108074829	0.079990152	0.701531793	0.605154569	0.491333708	0.678823727	0.102875665	0.086389338	0.119170738	0.7992611	0.906014413	0.641286526	0.753966541	0.145823677	0.129760321
65	0.507458962	0.908537144	1.231965794	0.555832305	0.418225689	0.026315274	0.565886567	0.419943553	0.880909271	0.774163853	0.389062779	0.372800654	0.022128714	0.474050984	0.594974371	0.936165017	1.689767735	0.722601831	0.463650724	0.030501834	0.65772215	0.17916312	0.814069059	0.846844975	0.566334279	0.646382302	0.085751005	0.199342168	0.127061879	0.773061677	0.662916561	0.469629301	0.599974111	0.070767492	0.138372851	0.23126436	0.855076441	1.030773388	0.663039256	0.692790494	0.100734519	0.260311486	0.097693136	0.74710522	0.767457381	0.564909121	0.715598424	0.126586392	0.107928914	0.076861908	0.696997325	0.599843421	0.482988448	0.671391373	0.102576402	0.084503841	0.118524364	0.797213114	0.935071342	0.646829793	0.759805476	0.150596383	0.131353987
66	0.508474162	0.907853407	1.223448622	0.55701174	0.420436479	0.026223995	0.565226615	0.42279283	0.882620331	0.755117633	0.399965117	0.365828482	0.021812621	0.48124038	0.594155493	0.933086483	1.691779612	0.714058364	0.475044477	0.030635368	0.649212851	0.185252126	0.81833841	0.853483837	0.559869191	0.645758724	0.085933432	0.199638961	0.139110419	0.782780611	0.647003116	0.453745988	0.596048889	0.071253034	0.142211916	0.231393833	0.853896208	1.059964558	0.665992393	0.695468558	0.100613831	0.257066007	0.098622883	0.751587097	0.755938175	0.566206746	0.717545767	0.126957479	0.106705623	0.079323495	0.708135902	0.611004933	0.481982139	0.676771773	0.107462554	0.089501187	0.117922272	0.795038293	0.900871417	0.650431353	0.758319762	0.146452404	0.12391006
67	0.510396714	0.90393395	1.229967854	0.54921135	0.417001803	0.026381511	0.557666179	0.433139995	0.879249827	0.768953001	0.405032183	0.374013154	0.021244643	0.468876845	0.587653434	0.928618073	1.690982707	0.693390517	0.459990452	0.031518378	0.646455513	0.185790265	0.817599618	0.852981437	0.568209165	0.648115388	0.087266772	0.202496767	0.135142729	0.778836306	0.638768682	0.474955457	0.599090267	0.072829345	0.145983322	0.236437802	0.856362929	1.067194192	0.661462873	0.69714051	0.1017042	0.259010212	0.097242014	0.751724249	0.768700588	0.565888887	0.718469908	0.125804851	0.108602623	0.078759119	0.709024148	0.616417697	0.492018116	0.679433086	0.1060813	0.086233146	0.11572491	0.79442435	0.920983479	0.639759659	0.757506729	0.145528401	0.130972101
68	0.500783091	0.906788082	1.235632105	0.560439501	0.417312257	0.026431693	0.559342209	0.423799846	0.881326837	0.788891957	0.405424762	0.368821661	0.021989287	0.468723926	0.577766336	0.932249328	1.682372253	0.715454239	0.465802854	0.0308741	0.649960492	0.179322861	0.817813519	0.842142952	0.565664937	0.643826436	0.087016609	0.200848159	0.128616374	0.776807922	0.629153731	0.467980513	0.590986115	0.072317905	0.149968847	0.230029348	0.858819116	1.055132173	0.663349361	0.696666758	0.101715313	0.251727471	0.096290671	0.751114546	0.75487062	0.56181069	0.715640193	0.125669213	0.106669534	0.079067895	0.696600141	0.610280922	0.475708332	0.671308745	0.105883693	0.087069558	0.113513447	0.80562895	0.899460318	0.647913049	0.759971641	0.145454732	0.12626951
69	0.494671942	0.904681395	1.228870314	0.547271415	0.417944099	0.026521673	0.563211217	0.416580305	0.876901197	0.783556837	0.396406804	0.372682246	0.021667585	0.47602024	0.572763579	0.932461592	1.674183791	0.698136027	0.463205953	0.031375762	0.650402194	0.181693143	0.816746666	0.845131378	0.554731983	0.647869155	0.087354195	0.198249279	0.131882669	0.777006373	0.63010248	0.45957535	0.602459439	0.074364384	0.13799882	0.231503618	0.856486959	1.060160275	0.649888616	0.693278872	0.100344005	0.258499738	0.097061632	0.746996843	0.762217779	0.563836617	0.716080644	0.128601412	0.109065646	0.077275619	0.699354259	0.609321134	0.480735889	0.677012346	0.107904964	0.086639357	0.116847645	0.794639427	0.915114424	0.646937345	0.755148942	0.14929786	0.131491936
70	0.508419714	0.90595692	1.231922128	0.555839745	0.412043189	0.026267093	0.55851821	0.430877433	0.879475396	0.747558639	0.430951747	0.373186492	0.02158272	0.469404203	0.585961995	0.932438443	1.716285617	0.680727743	0.450899886	0.030951467	0.647632216	0.182131746	0.820118988	0.84320903	0.568430551	0.645408357	0.085903365	0.202679448	0.132890069	0.785031916	0.642933609	0.479750164	0.594934729	0.072328025	0.146833038	0.231373423	0.855206061	1.043484451	0.657110938	0.695881986	0.099478705	0.258525858	0.097168045	0.751334938	0.757156194	0.561211652	0.718835296	0.128652397	0.107399508	0.079406291	0.703619429	0.619991652	0.467401558	0.68362591	0.109377116	0.082774462	0.114929798	0.799050446	0.894320736	0.655021746	0.754044682	0.147927677	0.132024555
71	0.50856081	0.904529552	1.181383001	0.56148526	0.416988524	0.026590035	0.559251169	0.437171559	0.880034035	0.794429704	0.406775192	0.373925401	0.022043153	0.466685964	0.57995006	0.929025068	1.568336299	0.716195328	0.460051648	0.031136916	0.651816373	0.180356297	0.815335495	0.825528933	0.573342357	0.642956364	0.087461387	0.198002808	0.132290588	0.777519354	0.639434791	0.47507621	0.597104113	0.072289242	0.150150258	0.228422007	0.853151636	1.011623076	0.671608504	0.688808615	0.102633531	0.245855357	0.095340818	0.750956578	0.765610015	0.57262292	0.721687	0.127386622	0.105983143	0.080044164	0.699079475	0.631399094	0.484219375	0.684163254	0.111212659	0.085090993	0.110637473	0.802833681	0.899820935	0.661026465	0.759210746	0.143560584	0.126875293
72	0.501086055	0.907018806	1.215400152	0.554927893	0.412147249	0.026785643	0.561948436	0.431886372	0.882499327	0.794871526	0.401539673	0.370134459	0.022230291	0.469218081	0.570285738	0.931538285	1.635928777	0.708316113	0.45416004	0.031340996	0.654678791	0.176506782	0.814803452	0.836261235	0.551464703	0.648438688	0.086233148	0.199213216	0.133846486	0.774411753	0.651479967	0.458549908	0.60394221	0.069764907	0.151466156	0.219167078	0.855195151	1.021042503	0.644379497	0.692935166	0.102701388	0.246960277	0.096007765	0.748867198	0.773333962	0.565512628	0.717506823	0.128603278	0.107681262	0.078680286	0.7017777	0.635306823	0.483492687	0.681948173	0.108252009	0.085451216	0.113335244	0.795956696	0.9113611	0.647532569	0.753065473	0.148954548	0.129911309
73	0.499883774	0.905783884	1.19485704	0.562790983	0.414466915	0.02664661	0.562627464	0.423955236	0.881217513	0.759903702	0.406746879	0.372972224	0.022240912	0.473593635	0.575812313	0.930350255	1.629810378	0.718835087	0.455961607	0.031052308	0.651661293	0.180645725	0.813716279	0.84864015	0.562826308	0.649136333	0.08752937	0.196704876	0.133191015	0.773289921	0.677461359	0.465575256	0.609052861	0.073153186	0.146558094	0.228100436	0.854142637	1.01981894	0.660077359	0.689219806	0.101905554	0.246851657	0.095720308	0.748423507	0.756069374	0.569144165	0.7196369	0.128282379	0.107441518	0.076981155	0.696453198	0.623190725	0.487552915	0.686454609	0.105291135	0.084081757	0.11445946	0.800393817	0.888948023	0.650735415	0.752819191	0.151273623	0.130801279
74	0.498884156	0.904907626	1.216084547	0.550245704	0.414170305	0.026875264	0.553535404	0.424387683	0.880233045	0.781501556	0.398220648	0.373738006	0.022527274	0.468700873	0.573380628	0.929582206	1.650667537	0.702270759	0.454602603	0.031223254	0.638369935	0.179766494	0.813247453	0.853529957	0.558332065	0.647297095	0.08706459	0.201871777	0.13288315	0.77895465	0.656533057	0.467624265	0.598215228	0.07233384	0.147384867	0.226649838	0.847540256	1.050526858	0.649039865	0.696378963	0.101795341	0.256358687	0.096939158	0.749320217	0.758863846	0.570802159	0.716026795	0.130363122	0.106431431	0.078615628	0.705335038	0.608415034	0.493131419	0.676364639	0.111234627	0.084899622	0.115262689	0.793305396	0.909312657	0.6484729	0.755688951	0.149491616	0.12796324
75	0.505630812	0.903773818	1.191370845	0.545186482	0.415939468	0.026876313	0.557221402	0.43234765	0.880761807	0.79625329	0.387773903	0.376438236	0.022124739	0.468692215	0.578913975	0.926785829	1.586488401	0.702599061	0.455440701	0.031627887	0.645750588	0.179332289	0.814314508	0.840944591	0.570229368	0.643815808	0.086271287	0.200425565	0.134076678	0.781823435	0.667092859	0.464094777	0.601475615	0.0724521	0.150672844	0.2245879	0.84680558	1.014796322	0.676363959	0.686156001	0.100090475	0.250178286	0.095305736	0.749853168	0.761010332	0.567225142	0.714830635	0.129469555	0.106523268	0.077144935	0.703338643	0.612991285	0.488862452	0.674211816	0.108263084	0.085658944	0.113466538	0.796367693	0.909029379	0.645587833	0.755449454	0.150676025	0.127387592
76	0.500038767	0.90642085	1.223821867	0.550475323	0.418836354	0.026724536	0.556583299	0.423559061	0.882741756	0.821212592	0.416098625	0.368441379	0.022490558	0.472117883	0.576518473	0.930099943	1.626431142	0.684852022	0.469231329	0.030958514	0.641048716	0.17666584	0.814583546	0.851234275	0.559070916	0.649641524	0.087236661	0.195872409	0.132458765	0.776883497	0.675267296	0.477072049	0.59955825	0.073268881	0.145550771	0.220872914	0.852283595	1.027201254	0.641069782	0.699724797	0.101204441	0.246194046	0.094421585	0.749742982	0.753371946	0.560748149	0.716084239	0.13076708	0.105532128	0.076891468	0.707927288	0.630328281	0.484536464	0.673186057	0.110883173	0.087333768	0.111951702	0.791558677	0.876415611	0.636959834	0.758982421	0.150650988	0.123730488
77	0.504168552	0.903996226	1.216428061	0.548447548	0.41723183	0.027119223	0.559776499	0.426704582	0.877311619	0.792557823	0.41446613	0.376130965	0.023183356	0.478634529	0.581632522	0.930680833	1.640298298	0.682428965	0.458332695	0.03105509	0.640918469	0.178284547	0.817637195	0.851035393	0.563720216	0.645377402	0.088707423	0.197114359	0.130774958	0.783907816	0.665741434	0.468440158	0.600896461	0.07251614	0.143868841	0.225794135	0.851366574	1.036329351	0.659000274	0.689858342	0.104898707	0.250359876	0.095165534	0.750397142	0.753601679	0.561278958	0.718709654	0.12805712	0.106425338	0.07832399	0.71180521	0.608307027	0.483822412	0.678259203	0.107760568	0.08681861	0.112007078	0.788989074	0.898896331	0.638735505	0.759160104	0.148353673	0.126032065
78	0.499230973	0.905212258	1.199388208	0.557514635	0.414955982	0.026908171	0.56260034	0.427363034	0.880229883	0.787366549	0.42022339	0.369293635	0.02214149	0.485476219	0.571098913	0.930194634	1.611409867	0.694805881	0.460618329	0.031674852	0.639724461	0.177693393	0.815439654	0.832322159	0.565968496	0.651061441	0.089485367	0.201081631	0.130886603	0.781392347	0.652890823	0.478905176	0.607242259	0.074408803	0.149154438	0.224500182	0.849486962	1.011753495	0.653031816	0.694880624	0.10456193	0.253008823	0.093954677	0.746789061	0.762682344	0.562941077	0.713840453	0.129467327	0.107477528	0.077244179	0.704233768	0.621485247	0.486502708	0.674095604	0.111167871	0.089193031	0.110665176	0.789344353	0.903879442	0.639379446	0.753585301	0.147766784	0.125762024
79	0.497045202	0.90398046	1.22915067	0.543194663	0.416698144	0.027223997	0.556177091	0.416088084	0.878396356	0.833792123	0.395739669	0.369093494	0.022661794	0.471717137	0.57800232	0.929564563	1.624509218	0.690649658	0.464302794	0.0317862	0.640637045	0.17734908	0.815893271	0.839374193	0.562685669	0.647131901	0.088103323	0.202370328	0.127274545	0.778386401	0.638935521	0.469904878	0.599762758	0.072885266	0.158326755	0.227423616	0.853400141	1.039812866	0.655466459	0.694501044	0.103321379	0.246413902	0.094092485	0.74855066	0.740624482	0.568712254	0.721039819	0.130610123	0.105450132	0.075968213	0.705911357	0.614437145	0.491471286	0.681617549	0.111411352	0.086956813	0.112216756	0.791189964	0.866811818	0.645953222	0.760462088	0.149808894	0.123943451
80	0.499752724	0.903296107	1.215275362	0.556007939	0.414126697	0.027105471	0.554304203	0.420283415	0.879890565	0.79167985	0.421565774	0.37193748	0.023093091	0.464985524	0.579222033	0.92670165	1.638870875	0.690450103	0.456315913	0.03111785	0.643622882	0.179355202	0.814654403	0.855172956	0.558143796	0.649372148	0.089402895	0.198558165	0.136949325	0.773002922	0.646992288	0.478864168	0.605623541	0.075106511	0.149903336	0.221761079	0.856305884	1.063353624	0.637423424	0.693120755	0.103699278	0.247212994	0.096724708	0.747562587	0.766359804	0.568596922	0.72062627	0.129132259	0.103026414	0.077358949	0.705400994	0.609843326	0.494855971	0.685822219	0.111253749	0.085234474	0.116090468	0.789724181	0.922876282	0.642337873	0.755430321	0.147010769	0.120818355
81	0.503965076	0.904987197	1.243374668	0.550119705	0.416833392	0.027085673	0.553052323	0.428795808	0.88037112	0.806263182	0.418285905	0.371422373	0.023203527	0.462848129	0.579134343	0.929603274	1.680486153	0.681953506	0.462244411	0.030967819	0.643256518	0.179281914	0.814366998	0.851122962	0.561207138	0.652976145	0.088755507	0.20169445	0.132954177	0.779550934	0.659059581	0.469890873	0.612640166	0.075569177	0.155542564	0.225609651	0.849183061	1.043186342	0.652523402	0.693312123	0.101941836	0.247846335	0.094638964	0.745215222	0.761876351	0.565087558	0.718413583	0.129588276	0.105336488	0.077838057	0.698221357	0.636120479	0.482556504	0.683379248	0.111084345	0.089196513	0.111439872	0.792209088	0.887632223	0.647618611	0.753447917	0.148092206	0.121476462
82	0.496212917	0.903914573	1.214525011	0.561075113	0.4220168	0.02699575	0.555587246	0.423429589	0.878951666	0.820210039	0.420880604	0.371315616	0.022401204	0.481739054	0.568996244	0.92887748	1.608839983	0.701269623	0.472717984	0.031590295	0.629435438	0.176812009	0.814943385	0.857601412	0.559909248	0.647548266	0.088343253	0.20255549	0.13736737	0.782024513	0.66686264	0.457531204	0.606195634	0.072962321	0.152300622	0.216256647	0.847862258	1.048340183	0.662287293	0.688900897	0.103724185	0.252810359	0.095228037	0.747887604	0.751237567	0.564176575	0.722020832	0.130882185	0.104618448	0.077262706	0.702739249	0.620490181	0.489580997	0.686243383	0.112554535	0.085917007	0.113193368	0.793035959	0.881984952	0.638772153	0.757798281	0.149209834	0.123319889
83	0.502122917	0.905624418	1.204715844	0.55338943	0.418073464	0.027084109	0.554961677	0.429000712	0.884436906	0.7455031	0.407511228	0.375794799	0.023123717	0.484587677	0.575245122	0.926811929	1.663928588	0.699267633	0.460352128	0.031044501	0.625335677	0.174721933	0.812995127	0.830869353	0.57006362	0.650832089	0.088241748	0.201231787	0.134054325	0.778416274	0.64421109	0.482220272	0.60409051	0.074019166	0.154199673	0.215389542	0.84757398	1.017527617	0.657906968	0.697573668	0.102464331	0.248263901	0.094334448	0.746496676	0.766480711	0.566916675	0.7235151	0.131464376	0.10570944	0.07517525	0.702084412	0.639696767	0.492050369	0.68683911	0.111860181	0.08472593	0.113493646	0.790908941	0.893264655	0.64178298	0.760191091	0.151068571	0.12669295
84	0.497932366	0.905320081	1.243323456	0.569950732	0.41824387	0.02725789	0.554246591	0.42473592	0.88422323	0.837186334	0.417473057	0.382876152	0.023016163	0.477174111	0.571128813	0.926416932	1.649460579	0.722428407	0.453611588	0.031499616	0.631319072	0.179036318	0.813824591	0.847603655	0.569824815	0.649962494	0.088396023	0.196751839	0.141918773	0.781923939	0.640262702	0.482428076	0.607098447	0.073759158	0.149161142	0.216153863	0.845725242	1.054944607	0.657221554	0.692826542	0.103032888	0.244342537	0.095670118	0.743134529	0.76278116	0.559556784	0.720862007	0.130820838	0.105422336	0.078013054	0.696929066	0.626401231	0.471903523	0.681016145	0.111532819	0.088094294	0.113327182	0.789339992	0.899161088	0.647210046	0.760707869	0.150108856	0.122750378
