SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1
99	0.004285623	0.000304679	0.017861357	0.013199199	0.002910914	0.011167915	0.004204763	0.016478037	0.000812212	0.011304198	0.005111551	0.00158572	0.013490354	0.015738392	0.014310561	0.001625739	0.007693059	0.003969389	0.000702514	0.011182484	0.016252786
100	0.005557451	0.000221871	0.020494379	0.016228478	0.002620327	0.011808302	0.004437473	0.015387764	0.000950723	0.010647813	0.005372278	0.001963356	0.011623313	0.01672972	0.016392916	0.001628376	0.007145248	0.00313004	0.000820924	0.011772532	0.015095706
101	0.004976059	0.000276865	0.022396718	0.011250077	0.00277106	0.010496042	0.003696281	0.014813309	0.000646083	0.013216228	0.005594429	0.002048071	0.012855268	0.015523342	0.014733445	0.001452313	0.006716353	0.004495639	0.000993044	0.011658833	0.016493927
102	0.004785573	0.000188184	0.016974436	0.012529074	0.003400714	0.01152145	0.003395137	0.015042458	0.000815647	0.012604941	0.004732931	0.001422956	0.011365699	0.020907243	0.015248574	0.001364065	0.008418516	0.003544759	0.000751589	0.013264664	0.013854715
103	0.004357071	0.000248924	0.024186972	0.008987156	0.002825773	0.011378852	0.003993082	0.016787991	0.000649861	0.010242061	0.005905762	0.00148707	0.01392295	0.014183398	0.014353234	0.001795115	0.008499629	0.002894462	0.001200268	0.010375884	0.018172806
104	0.003060242	0.000248653	0.023384154	0.01198843	0.002693173	0.011674251	0.003795007	0.015839762	0.000761937	0.013504223	0.00486053	0.001613316	0.009501774	0.01565861	0.015419061	0.001751266	0.006234128	0.003702198	0.000915144	0.012721781	0.017249328
105	0.002997453	0.000302786	0.024151989	0.012227762	0.003008378	0.010440677	0.003314889	0.014672125	0.00080899	0.013274099	0.004745522	0.001596092	0.009873059	0.018830669	0.01705932	0.001569703	0.006188207	0.003023735	0.000852852	0.012698766	0.014792877
106	0.003850009	0.000232535	0.021138396	0.01654838	0.002956882	0.010632321	0.004807946	0.013010687	0.000771003	0.009868096	0.005066715	0.001785445	0.013833348	0.012557292	0.011055301	0.001384633	0.006006191	0.00343908	0.001330144	0.008161376	0.01464882
107	0.004482531	0.000208727	0.021372637	0.012872808	0.002264556	0.012661642	0.004238521	0.015306684	0.000706788	0.011149504	0.006689944	0.001344114	0.009894645	0.013626907	0.015637657	0.001346831	0.00606978	0.003545415	0.000799595	0.01222598	0.014218501
108	0.003749153	0.000235126	0.022484557	0.011241162	0.003148502	0.01107748	0.003828905	0.013544211	0.000681649	0.013336546	0.005570016	0.001447922	0.009176684	0.014657074	0.011624054	0.001704833	0.007806994	0.002673383	0.000937512	0.012103902	0.016414308
109	0.003366285	0.000221458	0.018764859	0.018392513	0.003138743	0.01000761	0.00304253	0.014933392	0.000539398	0.00768376	0.004425345	0.001185566	0.010465558	0.013587264	0.016822395	0.00152332	0.006414303	0.004190057	0.000847507	0.011481169	0.015352837
110	0.004247403	0.000181241	0.01874202	0.014471621	0.002241866	0.010320121	0.004753536	0.015742977	0.000624287	0.009422483	0.004904695	0.001543552	0.009637624	0.012728575	0.015646458	0.001353879	0.006373082	0.003527819	0.000949107	0.009902093	0.012479239
111	0.004796085	0.000236533	0.021851269	0.013843075	0.002834349	0.010230575	0.002507817	0.014680819	0.000696026	0.008602264	0.005308449	0.001510889	0.010115332	0.011110958	0.016032144	0.001716304	0.008498694	0.003127829	0.000801522	0.010650436	0.014499377
112	0.004101061	0.0002607	0.021740945	0.01351447	0.002303484	0.009877879	0.004109083	0.013020334	0.000673747	0.012763513	0.004716895	0.001772576	0.010306945	0.010415112	0.012932436	0.001522387	0.006027592	0.002589238	0.000692267	0.008711476	0.018968356
113	0.004170001	0.000228454	0.022694202	0.011741494	0.002836636	0.011488387	0.003304291	0.009759937	0.000752045	0.008630094	0.003896273	0.001675924	0.008772448	0.013657694	0.018620388	0.001707834	0.006575706	0.003387202	0.000703532	0.010536777	0.013993046
114	0.002920701	0.000214094	0.021934694	0.009479158	0.00217944	0.011697016	0.004234158	0.015417979	0.000658951	0.012203332	0.005348976	0.001334771	0.009477516	0.01309525	0.010528706	0.001391296	0.006660326	0.003626923	0.000792843	0.011042256	0.021381072
115	0.004681489	0.000194086	0.017692049	0.01113027	0.002677371	0.009215919	0.002645311	0.013170978	0.000622497	0.009686356	0.003708857	0.001388879	0.010911909	0.011879698	0.009803886	0.001239364	0.005579188	0.003674836	0.000875091	0.009083715	0.014936029
116	0.003937252	0.000191513	0.017862246	0.014399378	0.003258943	0.009804109	0.003966914	0.012579083	0.000719409	0.010572018	0.004857494	0.001569097	0.009967275	0.01230397	0.013026105	0.00125441	0.00491639	0.002666577	0.00063745	0.009309431	0.012479679
117	0.00307195	0.000191951	0.02138938	0.013628516	0.002490133	0.008517134	0.004272639	0.012239904	0.000607699	0.011874121	0.003602866	0.001742466	0.008949337	0.012784219	0.013038765	0.001203853	0.007027034	0.003222066	0.00058233	0.008568245	0.01339807
118	0.002801813	0.000209052	0.021549482	0.009325606	0.002442663	0.00956313	0.003440421	0.009977494	0.000615767	0.006879576	0.003662608	0.001536933	0.008986512	0.013536298	0.014476034	0.001273221	0.007556303	0.002626341	0.000632328	0.00796035	0.010747988
119	0.003168308	0.000148361	0.018550174	0.008097009	0.002075594	0.007976612	0.003670287	0.010595171	0.000662761	0.010744062	0.00344435	0.00134148	0.009228848	0.007711772	0.014320676	0.00122917	0.007821179	0.003456863	0.000695248	0.009382346	0.011284413
120	0.003380668	0.000195082	0.024428113	0.010442533	0.003222997	0.009673818	0.003189988	0.012705929	0.00056006	0.010595873	0.003363963	0.001335728	0.008029353	0.008589119	0.010328655	0.001139136	0.00715535	0.003973248	0.00052943	0.009182861	0.011576075
121	0.004610609	0.000200119	0.018206958	0.01387833	0.002897463	0.0100505	0.003088088	0.014737347	0.000583109	0.010225742	0.003307377	0.001234524	0.007848673	0.011660891	0.013306683	0.00124561	0.005658958	0.003633634	0.000853264	0.007818416	0.01362667
122	0.003740958	0.000225789	0.018585516	0.011437433	0.002120106	0.010590488	0.003650709	0.011288277	0.00057316	0.010582701	0.004731036	0.001411404	0.009462075	0.011413094	0.010708921	0.001161378	0.00621408	0.003057798	0.000621996	0.008565797	0.011821577
123	0.002954749	0.000176727	0.018062134	0.009154498	0.002561761	0.00824669	0.002490555	0.010398721	0.000698943	0.010029006	0.003996169	0.001415512	0.007417324	0.013014361	0.011565616	0.001033029	0.006022813	0.00401028	0.000528215	0.009712597	0.010029022
124	0.002765066	0.000180176	0.022556133	0.009531172	0.002190855	0.008363057	0.002841848	0.010927403	0.000699159	0.013102226	0.004494026	0.00123972	0.008981457	0.016170126	0.011474411	0.001065505	0.006495729	0.002892957	0.000667432	0.009961566	0.010983893
125	0.002765973	0.000228787	0.017999641	0.014674988	0.002215987	0.007707705	0.0031988	0.012427133	0.000615307	0.006501284	0.003402206	0.001255487	0.008910336	0.011848125	0.011087708	0.001231095	0.006126192	0.003012194	0.000793475	0.008284341	0.010028501
126	0.003105646	0.000156591	0.01830226	0.011586191	0.002671691	0.007981567	0.004587886	0.01370785	0.000511263	0.0107562	0.003697592	0.001976924	0.009428025	0.010276942	0.0132571	0.001176853	0.005637424	0.002375772	0.000789149	0.009010217	0.010461077
127	0.003614286	0.000202792	0.02055556	0.013972638	0.002090638	0.007718276	0.003973024	0.011120796	0.00060181	0.007460683	0.003570578	0.001241824	0.009285368	0.00938796	0.013186001	0.001238021	0.006380679	0.003453026	0.000775506	0.009109208	0.013622686
128	0.003339725	0.000146858	0.020879394	0.010966193	0.002661483	0.007954514	0.002979808	0.011492907	0.000522083	0.007689356	0.004269606	0.001381039	0.008480264	0.008859035	0.008335022	0.001018856	0.006567315	0.003458242	0.000636299	0.007740937	0.010523182
129	0.003073877	0.000179254	0.025820819	0.007461107	0.002519819	0.007330012	0.00294593	0.012696401	0.000568537	0.007780251	0.003657794	0.001713441	0.0076369	0.010161205	0.011966628	0.000851144	0.006534021	0.003353423	0.000534144	0.008801393	0.009260456
130	0.003286521	0.000204047	0.022120035	0.009293402	0.002561867	0.007026307	0.003686465	0.01171639	0.000552908	0.009659548	0.004380447	0.00133706	0.007345517	0.010531159	0.011133177	0.000907637	0.004567322	0.004063097	0.000587013	0.008444956	0.011505667
131	0.004110155	0.00014302	0.01990279	0.011073438	0.002577888	0.007609667	0.003677173	0.012452384	0.000519277	0.00968084	0.004467624	0.001314421	0.007996806	0.011630655	0.009148689	0.00092981	0.005624078	0.003107196	0.000758623	0.008299437	0.011694879
132	0.002302901	0.000174502	0.027962997	0.011468109	0.00254404	0.007694211	0.003663399	0.010882165	0.000570116	0.008158648	0.004364241	0.001156281	0.007541424	0.010887816	0.01093696	0.001246927	0.005919071	0.002707543	0.000676455	0.007366696	0.011405904
133	0.002945099	0.000172318	0.014039374	0.009993323	0.002485121	0.007948295	0.002616001	0.010816924	0.000560042	0.007972128	0.003440174	0.001421026	0.00758937	0.009435954	0.009607619	0.001213833	0.005654554	0.003409582	0.00054663	0.006356407	0.013883054
134	0.00316469	0.000176411	0.026217523	0.009422722	0.002027748	0.006756735	0.002693149	0.011306889	0.000461029	0.011508329	0.00345805	0.001165669	0.007760507	0.011048924	0.011005502	0.001118995	0.006527765	0.002654643	0.000597176	0.008423269	0.010185439
135	0.00387191	0.000158056	0.019718803	0.008621299	0.001899297	0.007769235	0.003360638	0.009829465	0.000548796	0.010011814	0.003625176	0.001053033	0.008526191	0.008830332	0.009915887	0.001453733	0.005747496	0.002856859	0.00054227	0.005942868	0.01041408
136	0.003000684	0.000186739	0.01610201	0.012855754	0.00246081	0.007019692	0.002819975	0.014398817	0.000607681	0.008035075	0.002506418	0.001200961	0.007793429	0.010353401	0.008146677	0.001199767	0.004509028	0.002763092	0.000650379	0.008023347	0.01157659
137	0.003440379	0.000163829	0.019309986	0.011111128	0.002518868	0.008562793	0.003495244	0.012477323	0.000525726	0.008426008	0.003004542	0.001187953	0.008635136	0.011221237	0.009233042	0.000959583	0.005093479	0.002390376	0.00067566	0.007836475	0.012583724
138	0.003658413	0.00019666	0.016767785	0.010440024	0.002541238	0.00799386	0.003088163	0.011818124	0.000583857	0.007124979	0.003997445	0.001228953	0.007519918	0.009005059	0.010589408	0.000825222	0.005645992	0.00343148	0.000614127	0.006425175	0.010586519
139	0.002564962	0.000146148	0.017615353	0.009694719	0.002541971	0.006184171	0.002875138	0.014019969	0.000586417	0.006255091	0.003226656	0.001356679	0.006857166	0.010768232	0.009790899	0.001175184	0.006054635	0.003400465	0.000598779	0.008127141	0.008428781
140	0.004313963	0.000162871	0.015473103	0.006542576	0.002546029	0.00680456	0.003119058	0.010195979	0.000622951	0.010528967	0.003077176	0.001156097	0.007653847	0.015923989	0.00878165	0.001038757	0.006268964	0.002851756	0.000475861	0.00648786	0.009491267
141	0.003099855	0.00014038	0.024458534	0.009039269	0.002855526	0.0063538	0.003235907	0.009913046	0.000564991	0.009388833	0.003211335	0.001214675	0.007272938	0.006771033	0.012354527	0.000991292	0.005012387	0.003312262	0.000677056	0.007201314	0.01156049
142	0.002671086	0.000136728	0.022560142	0.00951728	0.002052641	0.00640072	0.002800275	0.010988417	0.000567804	0.008226416	0.003426028	0.001072014	0.007015985	0.010724991	0.009785474	0.001093273	0.004320929	0.003021422	0.000577189	0.008440813	0.008415038
143	0.003224038	0.000177705	0.020155137	0.009676182	0.002301461	0.007302954	0.002964542	0.010458835	0.000440163	0.010412888	0.004170057	0.001065137	0.006799444	0.010323005	0.00933397	0.001119514	0.006215632	0.002327186	0.000612234	0.005602323	0.0089415
144	0.003117665	0.00013986	0.017619896	0.008543593	0.002216948	0.007562241	0.00280864	0.009725615	0.000484235	0.009559456	0.003922653	0.001511825	0.006597678	0.011046289	0.010087502	0.000980548	0.005999645	0.002298006	0.000571094	0.005854207	0.008264258
145	0.003365973	0.000151819	0.018631833	0.008755282	0.002456032	0.006985266	0.003260426	0.014948827	0.000422872	0.005325455	0.002672233	0.001266352	0.007361852	0.012629189	0.009078563	0.00094832	0.003611994	0.002609279	0.000676795	0.006491196	0.006724419
146	0.002753243	0.0001706	0.018391104	0.012913417	0.002290298	0.007914208	0.00266922	0.009044607	0.000447586	0.007488412	0.003783514	0.001261668	0.005996624	0.009937891	0.010092798	0.001001264	0.004876124	0.003820918	0.000600643	0.007272279	0.009772807
147	0.002099424	0.000159989	0.017756345	0.0084839	0.002803459	0.005944772	0.002937423	0.008452001	0.000480802	0.012115611	0.003341483	0.001329962	0.008690933	0.010265606	0.009993468	0.00091167	0.005081124	0.002901588	0.000567911	0.006761341	0.009272701
148	0.002809461	0.000171718	0.016439894	0.009868829	0.002580783	0.007992011	0.002300359	0.015444549	0.000511556	0.008787986	0.003040785	0.000963855	0.005554628	0.009565779	0.009614962	0.000787125	0.005498184	0.003243825	0.000535206	0.007245712	0.008502331
149	0.002850095	0.00013249	0.018769796	0.011089421	0.002081557	0.007053988	0.002853387	0.00916662	0.000588064	0.007123407	0.002610351	0.000954531	0.006472938	0.008464115	0.009687411	0.000799133	0.005042733	0.00308879	0.000574185	0.007841533	0.009150762
