SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1
29	0.01560886	0.001628108	0.059540845	0.05261978	0.006393774	0.105606506	0.016947548	0.055260833	0.005820818	0.037030519	0.016195876	0.005659512	0.12278556	0.056555973	0.135816453	0.012135776	0.031095485	0.008814593	0.005629496	0.109751264	0.116575911
30	0.015994725	0.001570018	0.052575175	0.044334181	0.006813262	0.104766811	0.015662438	0.050801419	0.006149768	0.045538903	0.015284929	0.005531259	0.114037966	0.072370324	0.121364732	0.012983107	0.01919248	0.013894514	0.005627731	0.107481909	0.121371933
31	0.011270102	0.001383611	0.053338811	0.032174652	0.006016352	0.101148099	0.011835341	0.069378184	0.006046317	0.037438507	0.013946051	0.005402255	0.10525778	0.065890276	0.125978959	0.012198704	0.023848104	0.012583507	0.004836041	0.089097402	0.122059705
32	0.013543913	0.001372055	0.061619474	0.048059137	0.006841311	0.100542183	0.016263904	0.042798737	0.005631385	0.031996941	0.014265288	0.005400037	0.084605802	0.049591905	0.123379728	0.010227849	0.02335561	0.009975718	0.005113072	0.094228676	0.104903263
33	0.012713698	0.001456193	0.049098975	0.043050419	0.005868985	0.088348566	0.013994325	0.054861345	0.005095423	0.035147723	0.017885216	0.005405178	0.091489919	0.055504532	0.103449404	0.011638534	0.031266103	0.012971199	0.004024815	0.089104071	0.102885774
34	0.014039707	0.001164941	0.041074366	0.04515252	0.005351601	0.091926909	0.01261186	0.059588531	0.004386404	0.033158842	0.016459429	0.004754044	0.091164944	0.054270964	0.099773033	0.011027415	0.024005973	0.008421034	0.00477118	0.082652191	0.086713009
35	0.01376015	0.001097581	0.055174716	0.050729264	0.004930302	0.07537343	0.01177173	0.047746147	0.004067826	0.027483697	0.014928667	0.005232131	0.087420778	0.048280933	0.07472979	0.01047461	0.027887507	0.010570135	0.005026841	0.076183333	0.107998138
36	0.012558421	0.001084508	0.050437623	0.031609924	0.00448247	0.072558239	0.010580066	0.04458488	0.003945573	0.026583027	0.010781308	0.004546149	0.08897636	0.061291754	0.101469391	0.00789246	0.02169279	0.010679599	0.003874104	0.071951563	0.10858083
37	0.010973848	0.001135532	0.04079708	0.044528991	0.003697811	0.078792637	0.013292866	0.042927091	0.00412081	0.028787944	0.014603939	0.003723376	0.06438352	0.026196445	0.085441118	0.008126251	0.024026742	0.011075374	0.003650457	0.072533022	0.093355615
38	0.010110181	0.001167129	0.047752029	0.027747203	0.006656326	0.065332568	0.011695172	0.044826307	0.003600455	0.027970603	0.012373915	0.004355687	0.064727083	0.046957377	0.093224905	0.00906165	0.021009789	0.010779405	0.003367796	0.065670543	0.092277888
